no,tanggal,hrg
0,2023-01-01,27253.394736842107
1,2023-01-02,27266.552631578947
2,2023-01-03,27246.815789473683
3,2023-01-04,27238.052631578947
4,2023-01-05,27225.526315789473
5,2023-01-06,27210.657894736843
6,2023-01-07,27222.052631578947
7,2023-01-08,27210.21052631579
8,2023-01-09,27151.21052631579
9,2023-01-10,27154.5
10,2023-01-11,27184.105263157893
11,2023-01-12,27184.105263157893
12,2023-01-13,27193.973684210527
13,2023-01-14,27203.842105263157
14,2023-01-15,27195.052631578947
15,2023-01-16,27175.105263157893
16,2023-01-17,27188.026315789473
17,2023-01-18,27159.28947368421
18,2023-01-19,27162.57894736842
19,2023-01-20,27182.315789473683
20,2023-01-21,27163.684210526317
21,2023-01-22,27166.973684210527
22,2023-01-23,27180.13157894737
23,2023-01-24,27175.763157894737
24,2023-01-25,27172.473684210527
25,2023-01-26,27188.92105263158
26,2023-01-27,27188.894736842107
27,2023-01-28,27187.78947368421
28,2023-01-29,27152.684210526317
29,2023-01-30,27129.894736842107
30,2023-01-31,27152.052631578947
31,2023-02-01,27151.63157894737
32,2023-02-02,27141.763157894737
33,2023-02-03,27141.763157894737
34,2023-02-04,27175.763157894737
35,2023-02-05,27188.92105263158
36,2023-02-06,27330.157894736843
37,2023-02-07,27257.78947368421
38,2023-02-08,27246.815789473683
39,2023-02-09,27246.815789473683
40,2023-02-10,27241.552631578947
41,2023-02-11,27262.394736842107
42,2023-02-12,27273.13157894737
43,2023-02-13,27316.973684210527
44,2023-02-14,27356.236842105263
45,2023-02-15,27370.684210526317
46,2023-02-16,27392.184210526317
47,2023-02-17,27372.447368421053
48,2023-02-18,27361.526315789473
49,2023-02-19,27368.052631578947
50,2023-02-20,27449.42105263158
51,2023-02-21,27453.815789473683
52,2023-02-22,27470.92105263158
53,2023-02-23,27456.0
54,2023-02-24,27482.763157894737
55,2023-02-25,27500.315789473683
56,2023-02-26,27500.42105263158
57,2023-02-27,27487.157894736843
58,2023-02-28,27520.026315789473
59,2023-03-01,27533.184210526317
60,2023-03-02,27573.552631578947
61,2023-03-03,27620.447368421053
62,2023-03-04,27594.157894736843
63,2023-03-05,27611.71052631579
64,2023-03-06,27682.973684210527
65,2023-03-07,27719.394736842107
66,2023-03-08,27715.0
67,2023-03-09,27747.052631578947
68,2023-03-10,27733.894736842107
69,2023-03-11,27773.36842105263
70,2023-03-12,27773.36842105263
71,2023-03-13,27887.394736842107
72,2023-03-14,27895.947368421053
73,2023-03-15,27947.473684210527
74,2023-03-16,27976.842105263157
75,2023-03-17,28007.526315789473
76,2023-03-18,28007.526315789473
77,2023-03-19,28064.552631578947
