tanggal,code,hrg
2024-01-01,surabayakota,29000
2024-01-01,malangkota,32166
2024-01-01,kedirikota,35266
2024-01-01,jemberkab,35000
2024-01-01,bangkalankab,28666
2024-01-01,banyuwangikab,38600
2024-01-01,blitarkab,36000
2024-01-01,bojonegorokab,30000
2024-01-01,bondowosokab,30500
2024-01-01,gresikkab,35333
2024-01-01,jombangkab,27666
2024-01-01,kedirikab,32666
2024-01-01,lamongankab,32250
2024-01-01,lumajangkab,28666
2024-01-01,madiunkab,31250
2024-01-01,magetankab,33000
2024-01-01,malangkab,36600
2024-01-01,mojokertokab,24750
2024-01-01,nganjukkab,26333
2024-01-01,ngawikab,33666
2024-01-01,pacitankab,27000
2024-01-01,pamekasankab,32000
2024-01-01,pasuruankab,35000
2024-01-01,ponorogokab,28000
2024-01-01,probolinggokab,25333
2024-01-01,sampangkab,30500
2024-01-01,sidoarjokab,34000
2024-01-01,situbondokab,38000
2024-01-01,sumenepkab,33000
2024-01-01,trenggalekkab,32000
2024-01-01,tubankab,28666
2024-01-01,tulungagungkab,29333
2024-01-01,batukota,33000
2024-01-01,blitarkota,38000
2024-01-01,madiunkota,30333
2024-01-01,mojokertokota,34500
2024-01-01,pasuruankota,33900
2024-01-01,probolinggokota,36333
2024-01-02,surabayakota,29000
2024-01-02,malangkota,32166
2024-01-02,kedirikota,35666
2024-01-02,jemberkab,35200
2024-01-02,bangkalankab,31333
2024-01-02,banyuwangikab,37800
2024-01-02,blitarkab,35000
2024-01-02,bojonegorokab,32500
2024-01-02,bondowosokab,35250
2024-01-02,gresikkab,37666
2024-01-02,jombangkab,28666
2024-01-02,kedirikab,35333
2024-01-02,lamongankab,33000
2024-01-02,lumajangkab,28666
2024-01-02,madiunkab,31250
2024-01-02,magetankab,35000
2024-01-02,malangkab,36600
2024-01-02,mojokertokab,24750
2024-01-02,nganjukkab,27333
2024-01-02,ngawikab,37000
2024-01-02,pacitankab,27000
2024-01-02,pamekasankab,32000
2024-01-02,pasuruankab,36666
2024-01-02,ponorogokab,28000
2024-01-02,probolinggokab,32333
2024-01-02,sampangkab,30500
2024-01-02,sidoarjokab,34000
2024-01-02,situbondokab,38000
2024-01-02,sumenepkab,33000
2024-01-02,trenggalekkab,34000
2024-01-02,tubankab,28666
2024-01-02,tulungagungkab,33000
2024-01-02,batukota,33000
2024-01-02,blitarkota,37000
2024-01-02,madiunkota,33000
2024-01-02,mojokertokota,35500
2024-01-02,pasuruankota,35950
2024-01-02,probolinggokota,35333
2024-01-03,surabayakota,29333
2024-01-03,malangkota,33333
2024-01-03,kedirikota,34666
2024-01-03,jemberkab,36200
2024-01-03,bangkalankab,31333
2024-01-03,banyuwangikab,37400
2024-01-03,blitarkab,34500
2024-01-03,bojonegorokab,32500
2024-01-03,bondowosokab,35250
2024-01-03,gresikkab,37666
2024-01-03,jombangkab,28666
