tanggal,code,hrg
2024-01-01,surabayakota,10750
2024-01-01,malangkota,9333
2024-01-01,kedirikota,6750
2024-01-01,jemberkab,7800
2024-01-01,bangkalankab,9666
2024-01-01,banyuwangikab,7700
2024-01-01,blitarkab,6000
2024-01-01,bojonegorokab,6500
2024-01-01,bondowosokab,6000
2024-01-01,gresikkab,9000
2024-01-01,jombangkab,7000
2024-01-01,kedirikab,7333
2024-01-01,lamongankab,7250
2024-01-01,lumajangkab,7500
2024-01-01,madiunkab,6000
2024-01-01,magetankab,5833
2024-01-01,malangkab,7600
2024-01-01,mojokertokab,7000
2024-01-01,nganjukkab,6500
2024-01-01,ngawikab,7166
2024-01-01,pacitankab,7250
2024-01-01,pamekasankab,9500
2024-01-01,pasuruankab,8333
2024-01-01,ponorogokab,6750
2024-01-01,probolinggokab,6666
2024-01-01,sampangkab,11000
2024-01-01,sidoarjokab,10000
2024-01-01,situbondokab,6666
2024-01-01,sumenepkab,7750
2024-01-01,trenggalekkab,6500
2024-01-01,tubankab,6333
2024-01-01,tulungagungkab,6666
2024-01-01,batukota,8250
2024-01-01,blitarkota,9000
2024-01-01,madiunkota,7833
2024-01-01,mojokertokota,7750
2024-01-01,pasuruankota,8650
2024-01-01,probolinggokota,6666
2024-01-02,surabayakota,10750
2024-01-02,malangkota,9333
2024-01-02,kedirikota,6500
2024-01-02,jemberkab,7800
2024-01-02,bangkalankab,9666
2024-01-02,banyuwangikab,7700
2024-01-02,blitarkab,6000
2024-01-02,bojonegorokab,6500
2024-01-02,bondowosokab,6250
2024-01-02,gresikkab,9000
2024-01-02,jombangkab,7000
2024-01-02,kedirikab,7333
2024-01-02,lamongankab,7250
2024-01-02,lumajangkab,7500
2024-01-02,madiunkab,6000
2024-01-02,magetankab,5833
2024-01-02,malangkab,7600
2024-01-02,mojokertokab,7000
2024-01-02,nganjukkab,6500
2024-01-02,ngawikab,7166
2024-01-02,pacitankab,7250
2024-01-02,pamekasankab,9500
2024-01-02,pasuruankab,8166
2024-01-02,ponorogokab,6750
2024-01-02,probolinggokab,6666
2024-01-02,sampangkab,11000
2024-01-02,sidoarjokab,10000
2024-01-02,situbondokab,6666
2024-01-02,sumenepkab,7750
2024-01-02,trenggalekkab,6500
2024-01-02,tubankab,6333
2024-01-02,tulungagungkab,6666
2024-01-02,batukota,8125
2024-01-02,blitarkota,9000
2024-01-02,madiunkota,9833
2024-01-02,mojokertokota,7750
2024-01-02,pasuruankota,8650
2024-01-02,probolinggokota,6666
2024-01-03,surabayakota,10750
2024-01-03,malangkota,9500
2024-01-03,kedirikota,6500
2024-01-03,jemberkab,7800
2024-01-03,bangkalankab,9666
2024-01-03,banyuwangikab,7700
2024-01-03,blitarkab,6000
2024-01-03,bojonegorokab,6500
2024-01-03,bondowosokab,6250
2024-01-03,gresikkab,9000
2024-01-03,jombangkab,7000
2024-01-03,kedirikab,7333
2024-01-03,lamongankab,7500
2024-01-03,lumajangkab,7500
2024-01-03,madiunkab,6000
2024-01-03,magetankab,5833
2024-01-03,malangkab,7500
2024-01-03,mojokertokab,7000
2024-01-03,nganjukkab,6500
2024-01-03,ngawikab,7166
2024-01-03,pacitankab,7250
2024-01-03,pamekasankab,9500
2024-01-03,pasuruankab,8166
2024-01-03,ponorogokab,6750
2024-01-03,probolinggokab,6666
2024-01-03,sampangkab,11000
2024-01-03,sidoarjokab,10000
2024-01-03,situbondokab,7000
2024-01-03,sumenepkab,7750
2024-01-03,trenggalekkab,6750
2024-01-03,tubankab,6333
2024-01-03,tulungagungkab,6666
2024-01-03,batukota,8125
2024-01-03,blitarkota,9000
2024-01-03,madiunkota,9833
2024-01-03,mojokertokota,7750
2024-01-03,pasuruankota,8650
2024-01-03,probolinggokota,6666
2024-01-04,surabayakota,10750
2024-01-04,malangkota,9500
2024-01-04,kedirikota,6500
2024-01-04,jemberkab,7800
2024-01-04,bangkalankab,9666
2024-01-04,banyuwangikab,7700
2024-01-04,blitarkab,6000
2024-01-04,bojonegorokab,6500
2024-01-04,bondowosokab,6250
2024-01-04,gresikkab,9000
2024-01-04,jombangkab,7000
2024-01-04,kedirikab,7333
2024-01-04,lamongankab,7500
2024-01-04,lumajangkab,7500
2024-01-04,madiunkab,6000
2024-01-04,magetankab,5833
2024-01-04,malangkab,7500
2024-01-04,mojokertokab,7000
2024-01-04,nganjukkab,6500
2024-01-04,ngawikab,7166
2024-01-04,pacitankab,7250
2024-01-04,pamekasankab,9500
2024-01-04,pasuruankab,8166
2024-01-04,ponorogokab,6750
2024-01-04,probolinggokab,6666
2024-01-04,sampangkab,11000
2024-01-04,sidoarjokab,10000
2024-01-04,situbondokab,7000
2024-01-04,sumenepkab,7750
2024-01-04,trenggalekkab,6750
2024-01-04,tubankab,6333
2024-01-04,tulungagungkab,6666
2024-01-04,batukota,8250
2024-01-04,blitarkota,9000
2024-01-04,madiunkota,9833
2024-01-04,mojokertokota,8000
2024-01-04,pasuruankota,8650
2024-01-04,probolinggokota,6666
2024-01-05,surabayakota,10750
2024-01-05,malangkota,9500
2024-01-05,kedirikota,6500
2024-01-05,jemberkab,7800
2024-01-05,bangkalankab,9666
2024-01-05,banyuwangikab,7700
2024-01-05,blitarkab,6000
2024-01-05,bojonegorokab,6500
2024-01-05,bondowosokab,6250
2024-01-05,gresikkab,9000
2024-01-05,jombangkab,7000
2024-01-05,kedirikab,7833
2024-01-05,lamongankab,7500
2024-01-05,lumajangkab,7500
2024-01-05,madiunkab,6000
2024-01-05,magetankab,7500
2024-01-05,malangkab,7500
2024-01-05,mojokertokab,7000
2024-01-05,nganjukkab,6500
2024-01-05,ngawikab,7166
2024-01-05,pacitankab,7250
2024-01-05,pamekasankab,9500
2024-01-05,pasuruankab,8166
2024-01-05,ponorogokab,6750
2024-01-05,probolinggokab,6666
2024-01-05,sampangkab,11000
2024-01-05,sidoarjokab,10000
2024-01-05,situbondokab,7000
2024-01-05,sumenepkab,7750
2024-01-05,trenggalekkab,6750
2024-01-05,tubankab,6333
2024-01-05,tulungagungkab,6666
2024-01-05,batukota,8500
2024-01-05,blitarkota,9000
2024-01-05,madiunkota,9833
2024-01-05,mojokertokota,8000
2024-01-05,pasuruankota,8650
2024-01-05,probolinggokota,6666
2024-01-06,surabayakota,10750
2024-01-06,malangkota,9500
2024-01-06,kedirikota,6500
2024-01-06,jemberkab,7800
2024-01-06,bangkalankab,9666
2024-01-06,banyuwangikab,7700
2024-01-06,blitarkab,6000
2024-01-06,bojonegorokab,6500
2024-01-06,bondowosokab,6250
2024-01-06,gresikkab,9000
2024-01-06,jombangkab,7000
2024-01-06,kedirikab,7833
2024-01-06,lamongankab,7500
2024-01-06,lumajangkab,7500
2024-01-06,madiunkab,6000
2024-01-06,magetankab,7500
2024-01-06,malangkab,7500
2024-01-06,mojokertokab,7000
2024-01-06,nganjukkab,6500
2024-01-06,ngawikab,7166
2024-01-06,pacitankab,7250
2024-01-06,pamekasankab,9500
2024-01-06,pasuruankab,8166
2024-01-06,ponorogokab,6750
2024-01-06,probolinggokab,6666
2024-01-06,sampangkab,11000
2024-01-06,sidoarjokab,10000
2024-01-06,situbondokab,7000
2024-01-06,sumenepkab,7750
2024-01-06,trenggalekkab,6750
2024-01-06,tubankab,6333
2024-01-06,tulungagungkab,6666
2024-01-06,batukota,8500
2024-01-06,blitarkota,9000
2024-01-06,madiunkota,9833
2024-01-06,mojokertokota,8000
2024-01-06,pasuruankota,8650
2024-01-06,probolinggokota,6666
2024-01-07,surabayakota,10750
2024-01-07,malangkota,9500
2024-01-07,kedirikota,6500
2024-01-07,jemberkab,7800
2024-01-07,bangkalankab,9666
2024-01-07,banyuwangikab,7700
2024-01-07,blitarkab,6000
2024-01-07,bojonegorokab,6500
2024-01-07,bondowosokab,6250
2024-01-07,gresikkab,9000
2024-01-07,jombangkab,7000
2024-01-07,kedirikab,7833
2024-01-07,lamongankab,7500
2024-01-07,lumajangkab,7500
2024-01-07,madiunkab,6000
2024-01-07,magetankab,7500
2024-01-07,malangkab,7500
2024-01-07,mojokertokab,7000
2024-01-07,nganjukkab,6500
2024-01-07,ngawikab,7166
2024-01-07,pacitankab,7250
2024-01-07,pamekasankab,9500
2024-01-07,pasuruankab,8166
2024-01-07,ponorogokab,6750
2024-01-07,probolinggokab,6666
2024-01-07,sampangkab,11000
2024-01-07,sidoarjokab,10000
2024-01-07,situbondokab,7000
2024-01-07,sumenepkab,7750
2024-01-07,trenggalekkab,6750
2024-01-07,tubankab,6333
2024-01-07,tulungagungkab,6666
2024-01-07,batukota,8500
2024-01-07,blitarkota,9000
2024-01-07,madiunkota,9833
2024-01-07,mojokertokota,8000
2024-01-07,pasuruankota,8650
2024-01-07,probolinggokota,6666
2024-01-08,surabayakota,10416
2024-01-08,malangkota,9500
2024-01-08,kedirikota,6000
2024-01-08,jemberkab,7800
2024-01-08,bangkalankab,9666
2024-01-08,banyuwangikab,7700
2024-01-08,blitarkab,6000
2024-01-08,bojonegorokab,6500
2024-01-08,bondowosokab,6250
2024-01-08,gresikkab,9000
2024-01-08,jombangkab,7000
2024-01-08,kedirikab,8000
2024-01-08,lamongankab,7500
2024-01-08,lumajangkab,7666
2024-01-08,madiunkab,6000
2024-01-08,magetankab,8000
2024-01-08,malangkab,7500
2024-01-08,mojokertokab,7000
2024-01-08,nganjukkab,6500
2024-01-08,ngawikab,7166
2024-01-08,pacitankab,7250
2024-01-08,pamekasankab,9500
2024-01-08,pasuruankab,8166
2024-01-08,ponorogokab,6750
2024-01-08,probolinggokab,6666
2024-01-08,sampangkab,11000
2024-01-08,sidoarjokab,10000
2024-01-08,situbondokab,6833
2024-01-08,sumenepkab,7750
2024-01-08,trenggalekkab,6750
2024-01-08,tubankab,6333
2024-01-08,tulungagungkab,6666
2024-01-08,batukota,8500
2024-01-08,blitarkota,9000
2024-01-08,madiunkota,9833
2024-01-08,mojokertokota,8500
2024-01-08,pasuruankota,8650
2024-01-08,probolinggokota,6833
2024-01-09,surabayakota,10416
2024-01-09,malangkota,9500
2024-01-09,kedirikota,6000
2024-01-09,jemberkab,7800
2024-01-09,bangkalankab,9666
2024-01-09,banyuwangikab,7700
2024-01-09,blitarkab,6000
2024-01-09,bojonegorokab,6500
2024-01-09,bondowosokab,6250
2024-01-09,gresikkab,9000
2024-01-09,jombangkab,7000
2024-01-09,kedirikab,8000
2024-01-09,lamongankab,7500
2024-01-09,lumajangkab,7666
2024-01-09,madiunkab,6000
2024-01-09,magetankab,8000
2024-01-09,malangkab,7700
2024-01-09,mojokertokab,7000
2024-01-09,nganjukkab,6500
2024-01-09,ngawikab,7166
2024-01-09,pacitankab,7250
2024-01-09,pamekasankab,9500
