tanggal,code,hrg
2024-01-01,surabayakota,29000
2024-01-01,malangkota,27916
2024-01-01,kedirikota,28333
2024-01-01,jemberkab,27200
2024-01-01,bangkalankab,27000
2024-01-01,banyuwangikab,27900
2024-01-01,blitarkab,28000
2024-01-01,bojonegorokab,30000
2024-01-01,bondowosokab,25875
2024-01-01,gresikkab,30000
2024-01-01,jombangkab,26833
2024-01-01,kedirikab,27333
2024-01-01,lamongankab,28750
2024-01-01,lumajangkab,28000
2024-01-01,madiunkab,30000
2024-01-01,magetankab,29000
2024-01-01,malangkab,27200
2024-01-01,mojokertokab,27100
2024-01-01,nganjukkab,28000
2024-01-01,ngawikab,28333
2024-01-01,pacitankab,28000
2024-01-01,pamekasankab,27500
2024-01-01,pasuruankab,29333
2024-01-01,ponorogokab,30000
2024-01-01,probolinggokab,29333
2024-01-01,sampangkab,27000
2024-01-01,sidoarjokab,28000
2024-01-01,situbondokab,25666
2024-01-01,sumenepkab,27000
2024-01-01,trenggalekkab,29000
2024-01-01,tubankab,26333
2024-01-01,tulungagungkab,29666
2024-01-01,batukota,29750
2024-01-01,blitarkota,28500
2024-01-01,madiunkota,28000
2024-01-01,mojokertokota,27500
2024-01-01,pasuruankota,25950
2024-01-01,probolinggokota,27333
2024-01-02,surabayakota,29000
2024-01-02,malangkota,27916
2024-01-02,kedirikota,28333
2024-01-02,jemberkab,27200
2024-01-02,bangkalankab,27000
2024-01-02,banyuwangikab,27500
2024-01-02,blitarkab,28000
2024-01-02,bojonegorokab,30000
2024-01-02,bondowosokab,26250
2024-01-02,gresikkab,30000
2024-01-02,jombangkab,26833
2024-01-02,kedirikab,27333
2024-01-02,lamongankab,28750
2024-01-02,lumajangkab,28000
2024-01-02,madiunkab,30000
2024-01-02,magetankab,29000
2024-01-02,malangkab,27200
2024-01-02,mojokertokab,27100
2024-01-02,nganjukkab,28000
2024-01-02,ngawikab,28333
2024-01-02,pacitankab,28000
2024-01-02,pamekasankab,27500
2024-01-02,pasuruankab,29333
2024-01-02,ponorogokab,30000
2024-01-02,probolinggokab,29333
2024-01-02,sampangkab,27000
2024-01-02,sidoarjokab,28000
2024-01-02,situbondokab,25666
2024-01-02,sumenepkab,27000
2024-01-02,trenggalekkab,29000
2024-01-02,tubankab,26333
2024-01-02,tulungagungkab,29666
2024-01-02,batukota,29500
