tanggal,code,hrg
2024-01-01,surabayakota,15000
2024-01-01,malangkota,0
2024-01-01,kedirikota,18000
2024-01-01,jemberkab,0
2024-01-01,bangkalankab,0
2024-01-01,banyuwangikab,11900
2024-01-01,blitarkab,13000
2024-01-01,bojonegorokab,13500
2024-01-01,bondowosokab,0
2024-01-01,gresikkab,11500
2024-01-01,jombangkab,12833
2024-01-01,kedirikab,15000
2024-01-01,lamongankab,13625
2024-01-01,lumajangkab,14500
2024-01-01,madiunkab,15500
2024-01-01,magetankab,14666
2024-01-01,malangkab,14800
2024-01-01,mojokertokab,14162
2024-01-01,nganjukkab,13333
2024-01-01,ngawikab,15000
2024-01-01,pacitankab,15000
2024-01-01,pamekasankab,12900
2024-01-01,pasuruankab,12166
2024-01-01,ponorogokab,15000
2024-01-01,probolinggokab,15000
2024-01-01,sampangkab,0
2024-01-01,sidoarjokab,0
2024-01-01,situbondokab,13500
2024-01-01,sumenepkab,0
2024-01-01,trenggalekkab,11750
2024-01-01,tubankab,0
2024-01-01,tulungagungkab,11300
2024-01-01,batukota,11500
2024-01-01,blitarkota,16000
2024-01-01,madiunkota,13666
2024-01-01,mojokertokota,14000
2024-01-01,pasuruankota,10500
2024-01-01,probolinggokota,0
2024-01-02,surabayakota,15000
2024-01-02,malangkota,0
2024-01-02,kedirikota,18000
2024-01-02,jemberkab,0
2024-01-02,bangkalankab,0
2024-01-02,banyuwangikab,11900
2024-01-02,blitarkab,13000
2024-01-02,bojonegorokab,13500
2024-01-02,bondowosokab,0
2024-01-02,gresikkab,11500
2024-01-02,jombangkab,12833
2024-01-02,kedirikab,15000
2024-01-02,lamongankab,13625
2024-01-02,lumajangkab,14500
2024-01-02,madiunkab,15500
2024-01-02,magetankab,14866
2024-01-02,malangkab,14800
2024-01-02,mojokertokab,14162
2024-01-02,nganjukkab,13333
2024-01-02,ngawikab,15000
2024-01-02,pacitankab,15000
2024-01-02,pamekasankab,12900
2024-01-02,pasuruankab,12166
2024-01-02,ponorogokab,15000
2024-01-02,probolinggokab,15000
2024-01-02,sampangkab,0
2024-01-02,sidoarjokab,0
2024-01-02,situbondokab,13500
2024-01-02,sumenepkab,0
2024-01-02,trenggalekkab,11750
2024-01-02,tubankab,0
2024-01-02,tulungagungkab,11300
2024-01-02,batukota,11375
2024-01-02,blitarkota,16000
2024-01-02,madiunkota,13666
2024-01-02,mojokertokota,14000
2024-01-02,pasuruankota,10500
2024-01-02,probolinggokota,0
2024-01-03,surabayakota,15000
2024-01-03,malangkota,0
2024-01-03,kedirikota,18000
2024-01-03,jemberkab,0
2024-01-03,bangkalankab,0
2024-01-03,banyuwangikab,11900
2024-01-03,blitarkab,13000
2024-01-03,bojonegorokab,13500
2024-01-03,bondowosokab,0
2024-01-03,gresikkab,11500
2024-01-03,jombangkab,12833
2024-01-03,kedirikab,15000
2024-01-03,lamongankab,13625
2024-01-03,lumajangkab,14500
2024-01-03,madiunkab,15500
2024-01-03,magetankab,14866
2024-01-03,malangkab,14800
2024-01-03,mojokertokab,14162
2024-01-03,nganjukkab,13333
2024-01-03,ngawikab,15000
2024-01-03,pacitankab,15000
2024-01-03,pamekasankab,12900
2024-01-03,pasuruankab,12166
2024-01-03,ponorogokab,15000
2024-01-03,probolinggokab,15000
2024-01-03,sampangkab,0
2024-01-03,sidoarjokab,0
2024-01-03,situbondokab,13500
2024-01-03,sumenepkab,0
2024-01-03,trenggalekkab,12250
2024-01-03,tubankab,0
2024-01-03,tulungagungkab,11300
2024-01-03,batukota,11375
2024-01-03,blitarkota,16000
2024-01-03,madiunkota,13666
2024-01-03,mojokertokota,14000
2024-01-03,pasuruankota,10500
2024-01-03,probolinggokota,0
2024-01-04,surabayakota,15000
2024-01-04,malangkota,0
2024-01-04,kedirikota,18000
2024-01-04,jemberkab,0
2024-01-04,bangkalankab,0
2024-01-04,banyuwangikab,11900
2024-01-04,blitarkab,13000
2024-01-04,bojonegorokab,13500
2024-01-04,bondowosokab,0
2024-01-04,gresikkab,11500
2024-01-04,jombangkab,12833
2024-01-04,kedirikab,15000
2024-01-04,lamongankab,13625
2024-01-04,lumajangkab,14500
2024-01-04,madiunkab,15500
2024-01-04,magetankab,15066
2024-01-04,malangkab,14800
2024-01-04,mojokertokab,14162
2024-01-04,nganjukkab,13333
