tanggal,code,hrg
2024-01-01,surabayakota,11333
2024-01-01,malangkota,11166
2024-01-01,kedirikota,15666
2024-01-01,jemberkab,15400
2024-01-01,bangkalankab,11333
2024-01-01,banyuwangikab,14900
2024-01-01,blitarkab,10000
2024-01-01,bojonegorokab,15000
2024-01-01,bondowosokab,11000
2024-01-01,gresikkab,17000
2024-01-01,jombangkab,10000
2024-01-01,kedirikab,15833
2024-01-01,lamongankab,15000
2024-01-01,lumajangkab,16000
2024-01-01,madiunkab,14250
2024-01-01,magetankab,12000
2024-01-01,malangkab,14100
2024-01-01,mojokertokab,10500
2024-01-01,nganjukkab,15333
2024-01-01,ngawikab,16000
2024-01-01,pacitankab,12000
2024-01-01,pamekasankab,11500
2024-01-01,pasuruankab,15666
2024-01-01,ponorogokab,11000
2024-01-01,probolinggokab,7333
2024-01-01,sampangkab,13500
2024-01-01,sidoarjokab,17500
2024-01-01,situbondokab,8333
2024-01-01,sumenepkab,13500
2024-01-01,trenggalekkab,11500
2024-01-01,tubankab,10000
2024-01-01,tulungagungkab,7333
2024-01-01,batukota,15750
2024-01-01,blitarkota,9500
2024-01-01,madiunkota,14000
2024-01-01,mojokertokota,16000
2024-01-01,pasuruankota,13650
2024-01-01,probolinggokota,12333
2024-01-02,surabayakota,11333
2024-01-02,malangkota,11166
2024-01-02,kedirikota,18000
2024-01-02,jemberkab,17000
2024-01-02,bangkalankab,11333
2024-01-02,banyuwangikab,15300
2024-01-02,blitarkab,11500
2024-01-02,bojonegorokab,16500
2024-01-02,bondowosokab,13500
2024-01-02,gresikkab,22333
2024-01-02,jombangkab,12000
2024-01-02,kedirikab,16500
2024-01-02,lamongankab,15500
2024-01-02,lumajangkab,18666
2024-01-02,madiunkab,14500
2024-01-02,magetankab,13333
2024-01-02,malangkab,13000
2024-01-02,mojokertokab,10500
2024-01-02,nganjukkab,16666
2024-01-02,ngawikab,17000
2024-01-02,pacitankab,12000
2024-01-02,pamekasankab,11500
2024-01-02,pasuruankab,18666
2024-01-02,ponorogokab,11000
2024-01-02,probolinggokab,7333
2024-01-02,sampangkab,13500
2024-01-02,sidoarjokab,18000
2024-01-02,situbondokab,8333
2024-01-02,sumenepkab,17000
2024-01-02,trenggalekkab,11500
2024-01-02,tubankab,10000
2024-01-02,tulungagungkab,11666
2024-01-02,batukota,14750
2024-01-02,blitarkota,10500
2024-01-02,madiunkota,14666
2024-01-02,mojokertokota,15500
2024-01-02,pasuruankota,17650
2024-01-02,probolinggokota,22333
2024-01-03,surabayakota,10666
2024-01-03,malangkota,14833
2024-01-03,kedirikota,18666
2024-01-03,jemberkab,18800
2024-01-03,bangkalankab,11333
2024-01-03,banyuwangikab,15400
2024-01-03,blitarkab,13000
2024-01-03,bojonegorokab,16500
2024-01-03,bondowosokab,13250
2024-01-03,gresikkab,22333
2024-01-03,jombangkab,12000
2024-01-03,kedirikab,17833
2024-01-03,lamongankab,20500
2024-01-03,lumajangkab,18666
2024-01-03,madiunkab,14750
2024-01-03,magetankab,13333
2024-01-03,malangkab,13700
2024-01-03,mojokertokab,14000
2024-01-03,nganjukkab,17000
2024-01-03,ngawikab,17333
2024-01-03,pacitankab,13333
2024-01-03,pamekasankab,11500
2024-01-03,pasuruankab,20333
2024-01-03,ponorogokab,11000
2024-01-03,probolinggokab,7333
2024-01-03,sampangkab,13500
2024-01-03,sidoarjokab,19000
