tanggal,code,hrg
2024-06-02,surabayakota,42833
2024-06-02,malangkota,46333
2024-06-02,kedirikota,46666
2024-06-02,jemberkab,43600
2024-06-02,bangkalankab,44000
2024-06-02,banyuwangikab,41400
2024-06-02,blitarkab,35000
2024-06-02,bojonegorokab,42500
2024-06-02,bondowosokab,48000
2024-06-02,gresikkab,51000
2024-06-02,jombangkab,36666
2024-06-02,kedirikab,42000
2024-06-02,lamongankab,42000
2024-06-02,lumajangkab,40333
2024-06-02,madiunkab,39250
2024-06-02,magetankab,47000
2024-06-02,malangkab,45600
2024-06-02,mojokertokab,34700
2024-06-02,nganjukkab,33666
2024-06-02,ngawikab,46666
2024-06-02,pacitankab,36000
2024-06-02,pamekasankab,52500
2024-06-02,pasuruankab,42900
2024-06-02,ponorogokab,40000
2024-06-02,probolinggokab,31666
2024-06-02,sampangkab,48500
2024-06-02,sidoarjokab,40000
2024-06-02,situbondokab,37333
2024-06-02,sumenepkab,49000
2024-06-02,trenggalekkab,39000
2024-06-02,tubankab,40666
2024-06-02,tulungagungkab,47666
2024-06-02,batukota,44750
2024-06-02,blitarkota,40000
2024-06-02,madiunkota,48333
2024-06-02,mojokertokota,40000
2024-06-02,pasuruankota,44100
2024-06-02,probolinggokota,43000
2024-06-03,surabayakota,38000
2024-06-03,malangkota,43666
2024-06-03,kedirikota,45000
2024-06-03,jemberkab,42600
2024-06-03,bangkalankab,44000
2024-06-03,banyuwangikab,41000
2024-06-03,blitarkab,33500
2024-06-03,bojonegorokab,35000
2024-06-03,bondowosokab,43250
2024-06-03,gresikkab,46333
2024-06-03,jombangkab,32666
2024-06-03,kedirikab,36666
2024-06-03,lamongankab,39500
2024-06-03,lumajangkab,40000
2024-06-03,madiunkab,38500
2024-06-03,magetankab,41000
2024-06-03,malangkab,41600
2024-06-03,mojokertokab,34700
2024-06-03,nganjukkab,32666
2024-06-03,ngawikab,44000
2024-06-03,pacitankab,35333
2024-06-03,pamekasankab,52500
2024-06-03,pasuruankab,42333
2024-06-03,ponorogokab,40000
2024-06-03,probolinggokab,31666
2024-06-03,sampangkab,47500
2024-06-03,sidoarjokab,37500
2024-06-03,situbondokab,36666
2024-06-03,sumenepkab,46500
2024-06-03,trenggalekkab,38500
2024-06-03,tubankab,37000
2024-06-03,tulungagungkab,42666
2024-06-03,batukota,44750
2024-06-03,blitarkota,39000
2024-06-03,madiunkota,43333
2024-06-03,mojokertokota,37000
2024-06-03,pasuruankota,42600
2024-06-03,probolinggokota,42333
2024-06-04,surabayakota,38000
2024-06-04,malangkota,43000
2024-06-04,kedirikota,40000
2024-06-04,jemberkab,39600
2024-06-04,bangkalankab,44000
2024-06-04,banyuwangikab,41000
2024-06-04,blitarkab,33500
2024-06-04,bojonegorokab,35000
2024-06-04,bondowosokab,43125
2024-06-04,gresikkab,43666
2024-06-04,jombangkab,30000
2024-06-04,kedirikab,36666
2024-06-04,lamongankab,36500
2024-06-04,lumajangkab,38333
2024-06-04,madiunkab,38500
2024-06-04,magetankab,42000
2024-06-04,malangkab,41800
2024-06-04,mojokertokab,34700
2024-06-04,nganjukkab,32666
2024-06-04,ngawikab,42000
2024-06-04,pacitankab,35333
2024-06-04,pamekasankab,52500
2024-06-04,pasuruankab,42000
2024-06-04,ponorogokab,40000
2024-06-04,probolinggokab,31666
2024-06-04,sampangkab,47500
2024-06-04,sidoarjokab,39000
2024-06-04,situbondokab,36666
2024-06-04,sumenepkab,46500
2024-06-04,trenggalekkab,37000
2024-06-04,tubankab,36333
2024-06-04,tulungagungkab,36000
2024-06-04,batukota,44250
2024-06-04,blitarkota,40000
2024-06-04,madiunkota,43333
2024-06-04,mojokertokota,37000
2024-06-04,pasuruankota,42600
2024-06-04,probolinggokota,41666
2024-06-05,surabayakota,37166
2024-06-05,malangkota,43000
2024-06-05,kedirikota,39333
2024-06-05,jemberkab,38800
2024-06-05,bangkalankab,44000
2024-06-05,banyuwangikab,41000
2024-06-05,blitarkab,37500
2024-06-05,bojonegorokab,35000
2024-06-05,bondowosokab,43125
2024-06-05,gresikkab,43666
2024-06-05,jombangkab,30000
2024-06-05,kedirikab,36000
2024-06-05,lamongankab,36500
2024-06-05,lumajangkab,38333
2024-06-05,madiunkab,37750
2024-06-05,magetankab,42000
2024-06-05,malangkab,37400
2024-06-05,mojokertokab,34700
2024-06-05,nganjukkab,31666
2024-06-05,ngawikab,41333
2024-06-05,pacitankab,35333
2024-06-05,pamekasankab,52500
2024-06-05,pasuruankab,41000
2024-06-05,ponorogokab,40000
2024-06-05,probolinggokab,31666
2024-06-05,sampangkab,47500
2024-06-05,sidoarjokab,39000
2024-06-05,situbondokab,36666
2024-06-05,sumenepkab,45000
2024-06-05,trenggalekkab,37000
2024-06-05,tubankab,35333
2024-06-05,tulungagungkab,37333
2024-06-05,batukota,42250
2024-06-05,blitarkota,39000
2024-06-05,madiunkota,40000
2024-06-05,mojokertokota,36000
2024-06-05,pasuruankota,39200
2024-06-05,probolinggokota,40000
2024-06-06,surabayakota,35666
2024-06-06,malangkota,44000
2024-06-06,kedirikota,37666
2024-06-06,jemberkab,38200
2024-06-06,bangkalankab,44000
2024-06-06,banyuwangikab,39400
2024-06-06,blitarkab,37500
2024-06-06,bojonegorokab,35000
2024-06-06,bondowosokab,42500
2024-06-06,gresikkab,43666
2024-06-06,jombangkab,30000
2024-06-06,kedirikab,35000
2024-06-06,lamongankab,36500
2024-06-06,lumajangkab,38333
2024-06-06,madiunkab,37250
2024-06-06,magetankab,42000
2024-06-06,malangkab,37400
2024-06-06,mojokertokab,29700
2024-06-06,nganjukkab,31666
2024-06-06,ngawikab,37666
2024-06-06,pacitankab,35333
2024-06-06,pamekasankab,52500
2024-06-06,pasuruankab,41666
2024-06-06,ponorogokab,40000
2024-06-06,probolinggokab,25000
2024-06-06,sampangkab,47500
2024-06-06,sidoarjokab,39000
2024-06-06,situbondokab,35666
2024-06-06,sumenepkab,45000
2024-06-06,trenggalekkab,37500
2024-06-06,tubankab,35333
2024-06-06,tulungagungkab,36000
2024-06-06,batukota,43500
2024-06-06,blitarkota,35000
2024-06-06,madiunkota,43333
2024-06-06,mojokertokota,36000
2024-06-06,pasuruankota,39200
2024-06-06,probolinggokota,41666
2024-06-07,surabayakota,34833
2024-06-07,malangkota,44000
2024-06-07,kedirikota,35333
2024-06-07,jemberkab,38200
2024-06-07,bangkalankab,44000
2024-06-07,banyuwangikab,39400
2024-06-07,blitarkab,31000
2024-06-07,bojonegorokab,35000
