tanggal,code,hrg
2023-01-01,surabayakota,46666
2023-01-01,malangkota,48166
2023-01-01,kedirikota,58666
2023-01-01,jemberkab,54400
2023-01-01,bangkalankab,48333
2023-01-01,banyuwangikab,55600
2023-01-01,blitarkab,45000
2023-01-01,bojonegorokab,57500
2023-01-01,bondowosokab,36125
2023-01-01,gresikkab,49000
2023-01-01,jombangkab,48333
2023-01-01,kedirikab,51666
2023-01-01,lamongankab,47500
2023-01-01,lumajangkab,49333
2023-01-01,madiunkab,61750
2023-01-01,magetankab,56000
2023-01-01,malangkab,51000
2023-01-01,mojokertokab,47250
2023-01-01,nganjukkab,58666
2023-01-01,ngawikab,65000
2023-01-01,pacitankab,50000
2023-01-01,pamekasankab,55000
2023-01-01,pasuruankab,60666
2023-01-01,ponorogokab,70000
2023-01-01,probolinggokab,26333
2023-01-01,sampangkab,55000
2023-01-01,sidoarjokab,55000
2023-01-01,situbondokab,43333
2023-01-01,sumenepkab,53500
2023-01-01,trenggalekkab,52000
2023-01-01,tubankab,61666
2023-01-01,tulungagungkab,51666
2023-01-01,batukota,47750
2023-01-01,blitarkota,53000
2023-01-01,madiunkota,54000
2023-01-01,mojokertokota,48500
2023-01-01,pasuruankota,56500
2023-01-01,probolinggokota,53333
2023-01-02,surabayakota,50000
2023-01-02,malangkota,51166
2023-01-02,kedirikota,68666
2023-01-02,jemberkab,62400
2023-01-02,bangkalankab,50000
2023-01-02,banyuwangikab,60200
2023-01-02,blitarkab,65000
2023-01-02,bojonegorokab,57500
2023-01-02,bondowosokab,47750
2023-01-02,gresikkab,62000
2023-01-02,jombangkab,48333
2023-01-02,kedirikab,65000
2023-01-02,lamongankab,60000
2023-01-02,lumajangkab,51666
2023-01-02,madiunkab,70500
2023-01-02,magetankab,77666
2023-01-02,malangkab,64800
2023-01-02,mojokertokab,52750
2023-01-02,nganjukkab,65666
2023-01-02,ngawikab,76000
2023-01-02,pacitankab,50000
2023-01-02,pamekasankab,55000
2023-01-02,pasuruankab,63433
2023-01-02,ponorogokab,70000
2023-01-02,probolinggokab,29666
2023-01-02,sampangkab,55000
2023-01-02,sidoarjokab,56000
2023-01-02,situbondokab,59666
2023-01-02,sumenepkab,65000
2023-01-02,trenggalekkab,61000
2023-01-02,tubankab,71666
2023-01-02,tulungagungkab,62333
2023-01-02,batukota,45000
2023-01-02,blitarkota,62000
2023-01-02,madiunkota,60666
2023-01-02,mojokertokota,55000
2023-01-02,pasuruankota,60000
2023-01-02,probolinggokota,53333
2023-01-03,surabayakota,55000
2023-01-03,malangkota,57666
2023-01-03,kedirikota,58333
2023-01-03,jemberkab,62600
2023-01-03,bangkalankab,50000
2023-01-03,banyuwangikab,59400
2023-01-03,blitarkab,65000
2023-01-03,bojonegorokab,57500
2023-01-03,bondowosokab,47500
2023-01-03,gresikkab,67333
2023-01-03,jombangkab,48333
2023-01-03,kedirikab,58333
2023-01-03,lamongankab,73750
2023-01-03,lumajangkab,51666
2023-01-03,madiunkab,59000
2023-01-03,magetankab,77666
2023-01-03,malangkab,68600
2023-01-03,mojokertokab,53500
2023-01-03,nganjukkab,61000
2023-01-03,ngawikab,69333
2023-01-03,pacitankab,55666
2023-01-03,pamekasankab,55000
2023-01-03,pasuruankab,67000
2023-01-03,ponorogokab,70000
2023-01-03,probolinggokab,50666
2023-01-03,sampangkab,55000
2023-01-03,sidoarjokab,65000
2023-01-03,situbondokab,55666
2023-01-03,sumenepkab,72500
2023-01-03,trenggalekkab,61000
2023-01-03,tubankab,71666
2023-01-03,tulungagungkab,64000
2023-01-03,batukota,48750
2023-01-03,blitarkota,62000
2023-01-03,madiunkota,64000
2023-01-03,mojokertokota,57000
2023-01-03,pasuruankota,61500
2023-01-03,probolinggokota,58333
2023-01-04,surabayakota,63333
2023-01-04,malangkota,55833
2023-01-04,kedirikota,51666
2023-01-04,jemberkab,59600
2023-01-04,bangkalankab,50000
2023-01-04,banyuwangikab,57400
2023-01-04,blitarkab,57500
2023-01-04,bojonegorokab,57500
2023-01-04,bondowosokab,46250
2023-01-04,gresikkab,65666
2023-01-04,jombangkab,56666
2023-01-04,kedirikab,49333
2023-01-04,lamongankab,73750
2023-01-04,lumajangkab,51666
2023-01-04,madiunkab,54500
2023-01-04,magetankab,77666
2023-01-04,malangkab,62000
2023-01-04,mojokertokab,58500
2023-01-04,nganjukkab,54333
2023-01-04,ngawikab,62333
2023-01-04,pacitankab,58000
2023-01-04,pamekasankab,57500
2023-01-04,pasuruankab,64333
2023-01-04,ponorogokab,55000
2023-01-04,probolinggokab,50666
2023-01-04,sampangkab,68000
2023-01-04,sidoarjokab,62500
2023-01-04,situbondokab,53000
2023-01-04,sumenepkab,65000
2023-01-04,trenggalekkab,61000
2023-01-04,tubankab,61666
2023-01-04,tulungagungkab,55666
2023-01-04,batukota,49500
2023-01-04,blitarkota,56000
2023-01-04,madiunkota,64000
2023-01-04,mojokertokota,60000
2023-01-04,pasuruankota,61500
2023-01-04,probolinggokota,61666
2023-01-05,surabayakota,62500
2023-01-05,malangkota,55500
2023-01-05,kedirikota,50666
2023-01-05,jemberkab,53600
2023-01-05,bangkalankab,50000
2023-01-05,banyuwangikab,48200
2023-01-05,blitarkab,56500
2023-01-05,bojonegorokab,57500
2023-01-05,bondowosokab,50500
2023-01-05,gresikkab,61333
2023-01-05,jombangkab,55000
2023-01-05,kedirikab,47666
2023-01-05,lamongankab,73750
2023-01-05,lumajangkab,52000
2023-01-05,madiunkab,54250
2023-01-05,magetankab,66000
2023-01-05,malangkab,60400
2023-01-05,mojokertokab,56500
2023-01-05,nganjukkab,50000
2023-01-05,ngawikab,60000
2023-01-05,pacitankab,54000
2023-01-05,pamekasankab,70000
2023-01-05,pasuruankab,57666
2023-01-05,ponorogokab,55000
2023-01-05,probolinggokab,60000
2023-01-05,sampangkab,68000
2023-01-05,sidoarjokab,51000
2023-01-05,situbondokab,53000
2023-01-05,sumenepkab,62500
2023-01-05,trenggalekkab,53500
2023-01-05,tubankab,63333
2023-01-05,tulungagungkab,51000
2023-01-05,batukota,50500
2023-01-05,blitarkota,54500
2023-01-05,madiunkota,52333
2023-01-05,mojokertokota,55000
2023-01-05,pasuruankota,58250
2023-01-05,probolinggokota,56666
2023-01-06,surabayakota,60833
2023-01-06,malangkota,57166
2023-01-06,kedirikota,54666
2023-01-06,jemberkab,55400
2023-01-06,bangkalankab,50000
2023-01-06,banyuwangikab,52400
2023-01-06,blitarkab,54000
2023-01-06,bojonegorokab,57500
2023-01-06,bondowosokab,50250
2023-01-06,gresikkab,59000
2023-01-06,jombangkab,51666
2023-01-06,kedirikab,47666
2023-01-06,lamongankab,71250
2023-01-06,lumajangkab,52666
2023-01-06,madiunkab,52500
2023-01-06,magetankab,66000
2023-01-06,malangkab,55400
2023-01-06,mojokertokab,54875
2023-01-06,nganjukkab,51000
2023-01-06,ngawikab,59333
2023-01-06,pacitankab,57000
2023-01-06,pamekasankab,70000
2023-01-06,pasuruankab,59000
2023-01-06,ponorogokab,55000
2023-01-06,probolinggokab,60000
