tanggal,code,hrg
2024-06-02,surabayakota,24166
2024-06-02,malangkota,28833
2024-06-02,kedirikota,26333
2024-06-02,jemberkab,25800
2024-06-02,bangkalankab,23333
2024-06-02,banyuwangikab,26400
2024-06-02,blitarkab,23500
2024-06-02,bojonegorokab,21500
2024-06-02,bondowosokab,26125
2024-06-02,gresikkab,31000
2024-06-02,jombangkab,25000
2024-06-02,kedirikab,31333
2024-06-02,lamongankab,24250
2024-06-02,lumajangkab,26666
2024-06-02,madiunkab,26500
2024-06-02,magetankab,27333
2024-06-02,malangkab,21200
2024-06-02,mojokertokab,28750
2024-06-02,nganjukkab,26666
2024-06-02,ngawikab,30000
2024-06-02,pacitankab,25000
2024-06-02,pamekasankab,22500
2024-06-02,pasuruankab,27433
2024-06-02,ponorogokab,24000
2024-06-02,probolinggokab,25000
2024-06-02,sampangkab,23000
2024-06-02,sidoarjokab,28500
2024-06-02,situbondokab,23000
2024-06-02,sumenepkab,29000
2024-06-02,trenggalekkab,25000
2024-06-02,tubankab,25000
2024-06-02,tulungagungkab,20666
2024-06-02,batukota,23750
2024-06-02,blitarkota,27000
2024-06-02,madiunkota,30000
2024-06-02,mojokertokota,26500
2024-06-02,pasuruankota,24150
2024-06-02,probolinggokota,27666
2024-06-03,surabayakota,27166
2024-06-03,malangkota,29333
2024-06-03,kedirikota,26333
2024-06-03,jemberkab,26200
2024-06-03,bangkalankab,23333
2024-06-03,banyuwangikab,27200
2024-06-03,blitarkab,25000
2024-06-03,bojonegorokab,27500
2024-06-03,bondowosokab,25750
2024-06-03,gresikkab,33333
2024-06-03,jombangkab,26000
2024-06-03,kedirikab,27333
2024-06-03,lamongankab,25000
2024-06-03,lumajangkab,27000
2024-06-03,madiunkab,27250
2024-06-03,magetankab,31333
2024-06-03,malangkab,24800
2024-06-03,mojokertokab,27125
2024-06-03,nganjukkab,27666
2024-06-03,ngawikab,30000
2024-06-03,pacitankab,25333
2024-06-03,pamekasankab,22500
2024-06-03,pasuruankab,30000
2024-06-03,ponorogokab,26000
2024-06-03,probolinggokab,25000
2024-06-03,sampangkab,25500
2024-06-03,sidoarjokab,27500
2024-06-03,situbondokab,23666
2024-06-03,sumenepkab,29000
2024-06-03,trenggalekkab,26500
2024-06-03,tubankab,25000
2024-06-03,tulungagungkab,21666
2024-06-03,batukota,23750
2024-06-03,blitarkota,30000
2024-06-03,madiunkota,29666
2024-06-03,mojokertokota,28000
2024-06-03,pasuruankota,28600
2024-06-03,probolinggokota,29333
2024-06-04,surabayakota,27666
2024-06-04,malangkota,29833
2024-06-04,kedirikota,26333
2024-06-04,jemberkab,28000
2024-06-04,bangkalankab,23333
2024-06-04,banyuwangikab,28200
2024-06-04,blitarkab,25000
2024-06-04,bojonegorokab,27500
2024-06-04,bondowosokab,26000
2024-06-04,gresikkab,33333
2024-06-04,jombangkab,27666
2024-06-04,kedirikab,28666
2024-06-04,lamongankab,27500
2024-06-04,lumajangkab,24333
2024-06-04,madiunkab,29000
2024-06-04,magetankab,33000
2024-06-04,malangkab,26200
2024-06-04,mojokertokab,27125
2024-06-04,nganjukkab,27666
2024-06-04,ngawikab,30000
2024-06-04,pacitankab,25333
2024-06-04,pamekasankab,22500
2024-06-04,pasuruankab,30166
2024-06-04,ponorogokab,26000
2024-06-04,probolinggokab,25000
2024-06-04,sampangkab,25500
2024-06-04,sidoarjokab,28500
2024-06-04,situbondokab,23666
2024-06-04,sumenepkab,30000
2024-06-04,trenggalekkab,29000
2024-06-04,tubankab,25000
2024-06-04,tulungagungkab,24333
2024-06-04,batukota,24750
2024-06-04,blitarkota,31000
2024-06-04,madiunkota,29666
2024-06-04,mojokertokota,30500
2024-06-04,pasuruankota,29500
2024-06-04,probolinggokota,28333
2024-06-05,surabayakota,26833
2024-06-05,malangkota,29833
2024-06-05,kedirikota,29333
2024-06-05,jemberkab,28800
2024-06-05,bangkalankab,23333
2024-06-05,banyuwangikab,29000
2024-06-05,blitarkab,29500
2024-06-05,bojonegorokab,27500
2024-06-05,bondowosokab,26375
2024-06-05,gresikkab,33333
2024-06-05,jombangkab,27666
2024-06-05,kedirikab,33666
2024-06-05,lamongankab,27500
2024-06-05,lumajangkab,24333
2024-06-05,madiunkab,29250
2024-06-05,magetankab,33000
2024-06-05,malangkab,28200
2024-06-05,mojokertokab,27125
2024-06-05,nganjukkab,28333
2024-06-05,ngawikab,31666
2024-06-05,pacitankab,25333
2024-06-05,pamekasankab,22500
2024-06-05,pasuruankab,32666
2024-06-05,ponorogokab,26000
2024-06-05,probolinggokab,25000
2024-06-05,sampangkab,25500
2024-06-05,sidoarjokab,31000
2024-06-05,situbondokab,24333
2024-06-05,sumenepkab,33500
2024-06-05,trenggalekkab,29000
2024-06-05,tubankab,27333
2024-06-05,tulungagungkab,26000
2024-06-05,batukota,26500
2024-06-05,blitarkota,31000
2024-06-05,madiunkota,29666
2024-06-05,mojokertokota,31000
2024-06-05,pasuruankota,31750
2024-06-05,probolinggokota,32333
2024-06-06,surabayakota,26500
2024-06-06,malangkota,29833
2024-06-06,kedirikota,30000
