tanggal,code,hrg
2024-06-02,surabayakota,11125
2024-06-02,malangkota,9333
2024-06-02,kedirikota,7000
2024-06-02,jemberkab,7375
2024-06-02,bangkalankab,9333
2024-06-02,banyuwangikab,8000
2024-06-02,blitarkab,6000
2024-06-02,bojonegorokab,8000
2024-06-02,bondowosokab,9400
2024-06-02,gresikkab,8666
2024-06-02,jombangkab,7333
2024-06-02,kedirikab,6833
2024-06-02,lamongankab,8250
2024-06-02,lumajangkab,9000
2024-06-02,madiunkab,7875
2024-06-02,magetankab,6833
2024-06-02,malangkab,8200
2024-06-02,mojokertokab,7125
2024-06-02,nganjukkab,9000
2024-06-02,ngawikab,8000
2024-06-02,pacitankab,7833
2024-06-02,pamekasankab,9000
2024-06-02,pasuruankab,7500
2024-06-02,ponorogokab,6250
2024-06-02,probolinggokab,8333
2024-06-02,sampangkab,8500
2024-06-02,sidoarjokab,10000
2024-06-02,situbondokab,9666
2024-06-02,sumenepkab,8000
2024-06-02,trenggalekkab,6500
2024-06-02,tubankab,6500
2024-06-02,tulungagungkab,7666
2024-06-02,batukota,8375
2024-06-02,blitarkota,10500
2024-06-02,madiunkota,12166
2024-06-02,mojokertokota,6750
2024-06-02,pasuruankota,8650
2024-06-02,probolinggokota,5666
2024-06-03,surabayakota,11125
2024-06-03,malangkota,9333
2024-06-03,kedirikota,7000
2024-06-03,jemberkab,7375
2024-06-03,bangkalankab,9333
2024-06-03,banyuwangikab,8000
2024-06-03,blitarkab,6000
2024-06-03,bojonegorokab,8000
2024-06-03,bondowosokab,9400
2024-06-03,gresikkab,8666
2024-06-03,jombangkab,7333
2024-06-03,kedirikab,6833
2024-06-03,lamongankab,8250
2024-06-03,lumajangkab,9000
2024-06-03,madiunkab,7625
2024-06-03,magetankab,6833
2024-06-03,malangkab,8000
2024-06-03,mojokertokab,7125
2024-06-03,nganjukkab,9000
2024-06-03,ngawikab,8000
2024-06-03,pacitankab,7833
2024-06-03,pamekasankab,9000
2024-06-03,pasuruankab,7500
2024-06-03,ponorogokab,6250
2024-06-03,probolinggokab,8333
2024-06-03,sampangkab,8500
2024-06-03,sidoarjokab,10000
2024-06-03,situbondokab,9666
2024-06-03,sumenepkab,8000
2024-06-03,trenggalekkab,6500
2024-06-03,tubankab,6500
2024-06-03,tulungagungkab,8500
2024-06-03,batukota,8375
2024-06-03,blitarkota,10500
2024-06-03,madiunkota,12000
2024-06-03,mojokertokota,6750
2024-06-03,pasuruankota,8650
2024-06-03,probolinggokota,5666
2024-06-04,surabayakota,11125
2024-06-04,malangkota,9333
2024-06-04,kedirikota,7000
2024-06-04,jemberkab,7375
2024-06-04,bangkalankab,9333
2024-06-04,banyuwangikab,8000
2024-06-04,blitarkab,6000
2024-06-04,bojonegorokab,8000
2024-06-04,bondowosokab,9400
2024-06-04,gresikkab,8666
2024-06-04,jombangkab,7333
2024-06-04,kedirikab,6500
2024-06-04,lamongankab,8000
2024-06-04,lumajangkab,8666
2024-06-04,madiunkab,7625
2024-06-04,magetankab,6833
2024-06-04,malangkab,8000
2024-06-04,mojokertokab,7125
2024-06-04,nganjukkab,9000
2024-06-04,ngawikab,8000
2024-06-04,pacitankab,7833
2024-06-04,pamekasankab,9000
2024-06-04,pasuruankab,7500
2024-06-04,ponorogokab,6250
2024-06-04,probolinggokab,8333
2024-06-04,sampangkab,8500
2024-06-04,sidoarjokab,10000
2024-06-04,situbondokab,9666
2024-06-04,sumenepkab,8000
2024-06-04,trenggalekkab,6500
2024-06-04,tubankab,6500
2024-06-04,tulungagungkab,8500
2024-06-04,batukota,8250
2024-06-04,blitarkota,10500
2024-06-04,madiunkota,12000
2024-06-04,mojokertokota,6750
2024-06-04,pasuruankota,8650
2024-06-04,probolinggokota,5666
2024-06-05,surabayakota,11125
2024-06-05,malangkota,9333
2024-06-05,kedirikota,7000
2024-06-05,jemberkab,7375
2024-06-05,bangkalankab,9333
2024-06-05,banyuwangikab,8000
2024-06-05,blitarkab,6000
2024-06-05,bojonegorokab,8000
2024-06-05,bondowosokab,9400
2024-06-05,gresikkab,8666
2024-06-05,jombangkab,7333
2024-06-05,kedirikab,6500
2024-06-05,lamongankab,8000
2024-06-05,lumajangkab,8666
2024-06-05,madiunkab,7625
2024-06-05,magetankab,6833
2024-06-05,malangkab,8000
2024-06-05,mojokertokab,7125
2024-06-05,nganjukkab,9000
2024-06-05,ngawikab,8000
2024-06-05,pacitankab,7833
2024-06-05,pamekasankab,9000
2024-06-05,pasuruankab,7500
2024-06-05,ponorogokab,6250
2024-06-05,probolinggokab,8333
2024-06-05,sampangkab,8500
2024-06-05,sidoarjokab,10000
2024-06-05,situbondokab,9666
2024-06-05,sumenepkab,8000
2024-06-05,trenggalekkab,6500
2024-06-05,tubankab,6500
2024-06-05,tulungagungkab,8500
2024-06-05,batukota,8250
2024-06-05,blitarkota,10500
2024-06-05,madiunkota,12000
2024-06-05,mojokertokota,6750
2024-06-05,pasuruankota,8650
2024-06-05,probolinggokota,5666
2024-06-06,surabayakota,11125
2024-06-06,malangkota,9333
2024-06-06,kedirikota,7000
2024-06-06,jemberkab,7375
2024-06-06,bangkalankab,9333
2024-06-06,banyuwangikab,8000
2024-06-06,blitarkab,6000
2024-06-06,bojonegorokab,8000
2024-06-06,bondowosokab,9400
2024-06-06,gresikkab,8666
2024-06-06,jombangkab,7333
2024-06-06,kedirikab,6500
2024-06-06,lamongankab,8000
2024-06-06,lumajangkab,8666
2024-06-06,madiunkab,7625
2024-06-06,magetankab,6833
2024-06-06,malangkab,8000
2024-06-06,mojokertokab,7125
2024-06-06,nganjukkab,9000
2024-06-06,ngawikab,8000
2024-06-06,pacitankab,7833
2024-06-06,pamekasankab,9000
2024-06-06,pasuruankab,7500
2024-06-06,ponorogokab,6250
2024-06-06,probolinggokab,8333
2024-06-06,sampangkab,8500
2024-06-06,sidoarjokab,10000
2024-06-06,situbondokab,9666
2024-06-06,sumenepkab,8000
2024-06-06,trenggalekkab,6500
2024-06-06,tubankab,6500
2024-06-06,tulungagungkab,8500
2024-06-06,batukota,8375
2024-06-06,blitarkota,10500
2024-06-06,madiunkota,12000
2024-06-06,mojokertokota,6750
2024-06-06,pasuruankota,8650
2024-06-06,probolinggokota,5666
2024-06-07,surabayakota,11125
2024-06-07,malangkota,9333
2024-06-07,kedirikota,7000
2024-06-07,jemberkab,7375
2024-06-07,bangkalankab,9333
2024-06-07,banyuwangikab,8000
2024-06-07,blitarkab,6000
2024-06-07,bojonegorokab,8000
2024-06-07,bondowosokab,9400
2024-06-07,gresikkab,8666
2024-06-07,jombangkab,7333
2024-06-07,kedirikab,6333
2024-06-07,lamongankab,8000
2024-06-07,lumajangkab,8666
2024-06-07,madiunkab,7625
2024-06-07,magetankab,6833
2024-06-07,malangkab,8000
2024-06-07,mojokertokab,7125
2024-06-07,nganjukkab,9000
2024-06-07,ngawikab,8000
2024-06-07,pacitankab,7833
2024-06-07,pamekasankab,9000
2024-06-07,pasuruankab,7500
2024-06-07,ponorogokab,6250
2024-06-07,probolinggokab,8333
2024-06-07,sampangkab,8500
2024-06-07,sidoarjokab,10500
2024-06-07,situbondokab,9666
2024-06-07,sumenepkab,8000
2024-06-07,trenggalekkab,6500
2024-06-07,tubankab,6500
2024-06-07,tulungagungkab,8500
2024-06-07,batukota,8375
2024-06-07,blitarkota,10500
2024-06-07,madiunkota,12000
2024-06-07,mojokertokota,6750
2024-06-07,pasuruankota,8650
2024-06-07,probolinggokota,5666
2024-06-08,surabayakota,11125
2024-06-08,malangkota,9333
2024-06-08,kedirikota,7000
2024-06-08,jemberkab,7375
2024-06-08,bangkalankab,9333
2024-06-08,banyuwangikab,8000
2024-06-08,blitarkab,6000
2024-06-08,bojonegorokab,8000
2024-06-08,bondowosokab,9400
2024-06-08,gresikkab,8666
2024-06-08,jombangkab,7333
2024-06-08,kedirikab,6333
2024-06-08,lamongankab,8000
2024-06-08,lumajangkab,9000
2024-06-08,madiunkab,7625
2024-06-08,magetankab,6833
2024-06-08,malangkab,8000
2024-06-08,mojokertokab,7125
2024-06-08,nganjukkab,9000
2024-06-08,ngawikab,8000
2024-06-08,pacitankab,7833
2024-06-08,pamekasankab,9000
2024-06-08,pasuruankab,7500
2024-06-08,ponorogokab,6250
2024-06-08,probolinggokab,8333
2024-06-08,sampangkab,8500
2024-06-08,sidoarjokab,10500
2024-06-08,situbondokab,9666
2024-06-08,sumenepkab,8000
2024-06-08,trenggalekkab,6500
2024-06-08,tubankab,6500
2024-06-08,tulungagungkab,8500
2024-06-08,batukota,8375
2024-06-08,blitarkota,10500
2024-06-08,madiunkota,12000
2024-06-08,mojokertokota,6750
2024-06-08,pasuruankota,8650
2024-06-08,probolinggokota,5666
2024-06-09,surabayakota,11125
2024-06-09,malangkota,9333
2024-06-09,kedirikota,7000
2024-06-09,jemberkab,7375
2024-06-09,bangkalankab,9333
2024-06-09,banyuwangikab,8000
2024-06-09,blitarkab,6000
2024-06-09,bojonegorokab,8000
2024-06-09,bondowosokab,9400
2024-06-09,gresikkab,8666
2024-06-09,jombangkab,7333
2024-06-09,kedirikab,6333
2024-06-09,lamongankab,8000
2024-06-09,lumajangkab,9000
2024-06-09,madiunkab,7625
2024-06-09,magetankab,6833
2024-06-09,malangkab,8000
2024-06-09,mojokertokab,7212
2024-06-09,nganjukkab,9000
2024-06-09,ngawikab,8000
2024-06-09,pacitankab,7833
2024-06-09,pamekasankab,9000
2024-06-09,pasuruankab,7500
2024-06-09,ponorogokab,6250
2024-06-09,probolinggokab,8333
2024-06-09,sampangkab,8500
2024-06-09,sidoarjokab,10500
2024-06-09,situbondokab,9666
2024-06-09,sumenepkab,8000
2024-06-09,trenggalekkab,6500
2024-06-09,tubankab,6500
2024-06-09,tulungagungkab,8500
2024-06-09,batukota,8375
2024-06-09,blitarkota,10500
2024-06-09,madiunkota,12000
2024-06-09,mojokertokota,6500
2024-06-09,pasuruankota,8650
2024-06-09,probolinggokota,5666
2024-06-10,surabayakota,11125
2024-06-10,malangkota,9333
2024-06-10,kedirikota,7000
2024-06-10,jemberkab,7375
2024-06-10,bangkalankab,9333
2024-06-10,banyuwangikab,8000
2024-06-10,blitarkab,6000
2024-06-10,bojonegorokab,8000
2024-06-10,bondowosokab,9400
2024-06-10,gresikkab,8666
2024-06-10,jombangkab,7333
2024-06-10,kedirikab,6333
2024-06-10,lamongankab,8000
2024-06-10,lumajangkab,9000
2024-06-10,madiunkab,7625
2024-06-10,magetankab,6833
2024-06-10,malangkab,8000
2024-06-10,mojokertokab,7212
2024-06-10,nganjukkab,9000
2024-06-10,ngawikab,8000
2024-06-10,pacitankab,7833
2024-06-10,pamekasankab,9000
