tanggal,code,hrg
2024-06-02,surabayakota,29166
2024-06-02,malangkota,28583
2024-06-02,kedirikota,28000
2024-06-02,jemberkab,28000
2024-06-02,bangkalankab,27000
2024-06-02,banyuwangikab,28200
2024-06-02,blitarkab,30000
2024-06-02,bojonegorokab,30000
2024-06-02,bondowosokab,26875
2024-06-02,gresikkab,28333
2024-06-02,jombangkab,27333
2024-06-02,kedirikab,27333
2024-06-02,lamongankab,28250
2024-06-02,lumajangkab,26666
2024-06-02,madiunkab,28500
2024-06-02,magetankab,29000
2024-06-02,malangkab,26800
2024-06-02,mojokertokab,27350
2024-06-02,nganjukkab,27666
2024-06-02,ngawikab,27666
2024-06-02,pacitankab,29000
2024-06-02,pamekasankab,31000
2024-06-02,pasuruankab,27900
2024-06-02,ponorogokab,28500
2024-06-02,probolinggokab,29000
2024-06-02,sampangkab,30000
2024-06-02,sidoarjokab,28000
2024-06-02,situbondokab,26666
2024-06-02,sumenepkab,27000
2024-06-02,trenggalekkab,28000
2024-06-02,tubankab,27000
2024-06-02,tulungagungkab,30333
2024-06-02,batukota,29500
2024-06-02,blitarkota,32000
2024-06-02,madiunkota,28666
2024-06-02,mojokertokota,28000
2024-06-02,pasuruankota,26300
2024-06-02,probolinggokota,29000
2024-06-03,surabayakota,29166
2024-06-03,malangkota,28583
2024-06-03,kedirikota,28000
2024-06-03,jemberkab,28000
2024-06-03,bangkalankab,27000
2024-06-03,banyuwangikab,28200
2024-06-03,blitarkab,30000
2024-06-03,bojonegorokab,30000
2024-06-03,bondowosokab,26875
2024-06-03,gresikkab,28333
2024-06-03,jombangkab,27333
2024-06-03,kedirikab,27333
2024-06-03,lamongankab,28250
2024-06-03,lumajangkab,27000
2024-06-03,madiunkab,28500
2024-06-03,magetankab,29000
2024-06-03,malangkab,27200
2024-06-03,mojokertokab,27350
2024-06-03,nganjukkab,27666
2024-06-03,ngawikab,27333
2024-06-03,pacitankab,29000
2024-06-03,pamekasankab,31000
2024-06-03,pasuruankab,27900
2024-06-03,ponorogokab,28500
2024-06-03,probolinggokab,29000
2024-06-03,sampangkab,30000
2024-06-03,sidoarjokab,28000
2024-06-03,situbondokab,26666
2024-06-03,sumenepkab,27000
2024-06-03,trenggalekkab,27500
2024-06-03,tubankab,27000
2024-06-03,tulungagungkab,30333
2024-06-03,batukota,29500
2024-06-03,blitarkota,32000
2024-06-03,madiunkota,28333
2024-06-03,mojokertokota,28000
2024-06-03,pasuruankota,26300
2024-06-03,probolinggokota,29000
2024-06-04,surabayakota,29166
2024-06-04,malangkota,28583
2024-06-04,kedirikota,28000
2024-06-04,jemberkab,28000
2024-06-04,bangkalankab,27000
2024-06-04,banyuwangikab,28200
2024-06-04,blitarkab,30000
2024-06-04,bojonegorokab,30000
2024-06-04,bondowosokab,26875
2024-06-04,gresikkab,28333
2024-06-04,jombangkab,27333
2024-06-04,kedirikab,27333
2024-06-04,lamongankab,28250
2024-06-04,lumajangkab,27000
2024-06-04,madiunkab,28500
2024-06-04,magetankab,29000
2024-06-04,malangkab,27200
2024-06-04,mojokertokab,27350
2024-06-04,nganjukkab,27666
2024-06-04,ngawikab,27333
2024-06-04,pacitankab,29000
2024-06-04,pamekasankab,31000
2024-06-04,pasuruankab,28233
2024-06-04,ponorogokab,28500
2024-06-04,probolinggokab,29000
2024-06-04,sampangkab,30000
2024-06-04,sidoarjokab,28000
2024-06-04,situbondokab,26666
2024-06-04,sumenepkab,27000
2024-06-04,trenggalekkab,27500
2024-06-04,tubankab,27000
2024-06-04,tulungagungkab,30333
2024-06-04,batukota,29500
2024-06-04,blitarkota,32000
