tanggal,code,hrg
2023-01-01,surabayakota,13000
2023-01-01,malangkota,0
2023-01-01,kedirikota,19000
2023-01-01,jemberkab,12500
2023-01-01,bangkalankab,0
2023-01-01,banyuwangikab,11000
2023-01-01,blitarkab,15000
2023-01-01,bojonegorokab,17500
2023-01-01,bondowosokab,0
2023-01-01,gresikkab,11750
2023-01-01,jombangkab,11666
2023-01-01,kedirikab,14000
2023-01-01,lamongankab,13250
2023-01-01,lumajangkab,15666
2023-01-01,madiunkab,15500
2023-01-01,magetankab,16000
2023-01-01,malangkab,14500
2023-01-01,mojokertokab,12125
2023-01-01,nganjukkab,12833
2023-01-01,ngawikab,15000
2023-01-01,pacitankab,18000
2023-01-01,pamekasankab,12900
2023-01-01,pasuruankab,12933
2023-01-01,ponorogokab,14250
2023-01-01,probolinggokab,12333
2023-01-01,sampangkab,0
2023-01-01,sidoarjokab,0
2023-01-01,situbondokab,12166
2023-01-01,sumenepkab,0
2023-01-01,trenggalekkab,12000
2023-01-01,tubankab,0
2023-01-01,tulungagungkab,12000
2023-01-01,batukota,11250
2023-01-01,blitarkota,16000
2023-01-01,madiunkota,12666
2023-01-01,mojokertokota,13250
2023-01-01,pasuruankota,10250
2023-01-01,probolinggokota,0
2023-01-02,surabayakota,13000
2023-01-02,malangkota,0
2023-01-02,kedirikota,19000
2023-01-02,jemberkab,12500
2023-01-02,bangkalankab,0
2023-01-02,banyuwangikab,11000
2023-01-02,blitarkab,15000
2023-01-02,bojonegorokab,17500
2023-01-02,bondowosokab,0
2023-01-02,gresikkab,11750
2023-01-02,jombangkab,11666
2023-01-02,kedirikab,13666
2023-01-02,lamongankab,13250
2023-01-02,lumajangkab,16000
2023-01-02,madiunkab,15500
2023-01-02,magetankab,16000
2023-01-02,malangkab,14400
2023-01-02,mojokertokab,12125
2023-01-02,nganjukkab,12833
2023-01-02,ngawikab,15000
2023-01-02,pacitankab,18000
2023-01-02,pamekasankab,12900
2023-01-02,pasuruankab,12933
2023-01-02,ponorogokab,14250
2023-01-02,probolinggokab,12333
2023-01-02,sampangkab,0
2023-01-02,sidoarjokab,0
2023-01-02,situbondokab,12166
2023-01-02,sumenepkab,0
2023-01-02,trenggalekkab,12000
2023-01-02,tubankab,0
2023-01-02,tulungagungkab,12000
2023-01-02,batukota,10775
2023-01-02,blitarkota,16000
2023-01-02,madiunkota,12666
2023-01-02,mojokertokota,13250
2023-01-02,pasuruankota,10250
2023-01-02,probolinggokota,0
2023-01-03,surabayakota,13000
2023-01-03,malangkota,0
2023-01-03,kedirikota,19000
2023-01-03,jemberkab,12500
2023-01-03,bangkalankab,0
2023-01-03,banyuwangikab,11000
2023-01-03,blitarkab,15000
2023-01-03,bojonegorokab,17500
2023-01-03,bondowosokab,0
2023-01-03,gresikkab,11750
2023-01-03,jombangkab,11666
2023-01-03,kedirikab,13666
2023-01-03,lamongankab,13250
2023-01-03,lumajangkab,16000
2023-01-03,madiunkab,15500
2023-01-03,magetankab,16000
2023-01-03,malangkab,14400
2023-01-03,mojokertokab,12125
2023-01-03,nganjukkab,13666
2023-01-03,ngawikab,15000
2023-01-03,pacitankab,18000
2023-01-03,pamekasankab,12900
2023-01-03,pasuruankab,12933
2023-01-03,ponorogokab,14250
2023-01-03,probolinggokab,12333
2023-01-03,sampangkab,0
2023-01-03,sidoarjokab,0
2023-01-03,situbondokab,12166
2023-01-03,sumenepkab,0
2023-01-03,trenggalekkab,12000
2023-01-03,tubankab,0
2023-01-03,tulungagungkab,12000
2023-01-03,batukota,10775
2023-01-03,blitarkota,16000
2023-01-03,madiunkota,12666
2023-01-03,mojokertokota,13250
2023-01-03,pasuruankota,10250
2023-01-03,probolinggokota,0
2023-01-04,surabayakota,12500
2023-01-04,malangkota,0
2023-01-04,kedirikota,19000
2023-01-04,jemberkab,12500
2023-01-04,bangkalankab,0
2023-01-04,banyuwangikab,11000
2023-01-04,blitarkab,15000
2023-01-04,bojonegorokab,17500
2023-01-04,bondowosokab,0
2023-01-04,gresikkab,11750
2023-01-04,jombangkab,11666
2023-01-04,kedirikab,13666
2023-01-04,lamongankab,13250
2023-01-04,lumajangkab,16000
2023-01-04,madiunkab,15500
2023-01-04,magetankab,16000
2023-01-04,malangkab,14400
2023-01-04,mojokertokab,12125
2023-01-04,nganjukkab,13666
2023-01-04,ngawikab,15000
2023-01-04,pacitankab,18000
2023-01-04,pamekasankab,12900
2023-01-04,pasuruankab,12933
2023-01-04,ponorogokab,14250
2023-01-04,probolinggokab,12333
2023-01-04,sampangkab,0
2023-01-04,sidoarjokab,0
2023-01-04,situbondokab,12166
2023-01-04,sumenepkab,0
2023-01-04,trenggalekkab,12000
2023-01-04,tubankab,0
2023-01-04,tulungagungkab,12000
2023-01-04,batukota,10775
2023-01-04,blitarkota,16000
2023-01-04,madiunkota,12666
2023-01-04,mojokertokota,13500
2023-01-04,pasuruankota,10250
2023-01-04,probolinggokota,0
2023-01-05,surabayakota,12500
2023-01-05,malangkota,0
