tanggal,code,hrg
2024-06-02,surabayakota,17500
2024-06-02,malangkota,0
2024-06-02,kedirikota,16666
2024-06-02,jemberkab,0
2024-06-02,bangkalankab,0
2024-06-02,banyuwangikab,11300
2024-06-02,blitarkab,13000
2024-06-02,bojonegorokab,16000
2024-06-02,bondowosokab,0
2024-06-02,gresikkab,11500
2024-06-02,jombangkab,12833
2024-06-02,kedirikab,15500
2024-06-02,lamongankab,13000
2024-06-02,lumajangkab,14500
2024-06-02,madiunkab,13750
2024-06-02,magetankab,15500
2024-06-02,malangkab,15000
2024-06-02,mojokertokab,14162
2024-06-02,nganjukkab,14433
2024-06-02,ngawikab,14000
2024-06-02,pacitankab,15666
2024-06-02,pamekasankab,13000
2024-06-02,pasuruankab,12933
2024-06-02,ponorogokab,13750
2024-06-02,probolinggokab,16000
2024-06-02,sampangkab,0
2024-06-02,sidoarjokab,0
2024-06-02,situbondokab,12333
2024-06-02,sumenepkab,0
2024-06-02,trenggalekkab,12000
2024-06-02,tubankab,14000
2024-06-02,tulungagungkab,13000
2024-06-02,batukota,11375
2024-06-02,blitarkota,16000
2024-06-02,madiunkota,14000
2024-06-02,mojokertokota,14000
2024-06-02,pasuruankota,10500
2024-06-02,probolinggokota,0
2024-06-03,surabayakota,17500
2024-06-03,malangkota,0
2024-06-03,kedirikota,16666
2024-06-03,jemberkab,0
2024-06-03,bangkalankab,0
2024-06-03,banyuwangikab,11300
2024-06-03,blitarkab,13000
2024-06-03,bojonegorokab,17000
2024-06-03,bondowosokab,0
2024-06-03,gresikkab,11500
2024-06-03,jombangkab,12833
2024-06-03,kedirikab,15500
2024-06-03,lamongankab,13000
2024-06-03,lumajangkab,14500
2024-06-03,madiunkab,13500
2024-06-03,magetankab,15500
2024-06-03,malangkab,15000
2024-06-03,mojokertokab,14162
2024-06-03,nganjukkab,14433
2024-06-03,ngawikab,14000
2024-06-03,pacitankab,15666
2024-06-03,pamekasankab,13000
2024-06-03,pasuruankab,12933
2024-06-03,ponorogokab,13750
2024-06-03,probolinggokab,16000
2024-06-03,sampangkab,0
2024-06-03,sidoarjokab,0
2024-06-03,situbondokab,12333
2024-06-03,sumenepkab,0
2024-06-03,trenggalekkab,12000
2024-06-03,tubankab,14000
2024-06-03,tulungagungkab,13000
2024-06-03,batukota,11375
2024-06-03,blitarkota,16000
2024-06-03,madiunkota,14000
2024-06-03,mojokertokota,13500
2024-06-03,pasuruankota,10500
2024-06-03,probolinggokota,0
2024-06-04,surabayakota,17500
2024-06-04,malangkota,0
2024-06-04,kedirikota,16666
2024-06-04,jemberkab,0
2024-06-04,bangkalankab,0
2024-06-04,banyuwangikab,11300
2024-06-04,blitarkab,13000
2024-06-04,bojonegorokab,17000
2024-06-04,bondowosokab,0
2024-06-04,gresikkab,11500
2024-06-04,jombangkab,12833
2024-06-04,kedirikab,15000
2024-06-04,lamongankab,13000
2024-06-04,lumajangkab,14500
2024-06-04,madiunkab,13500
2024-06-04,magetankab,15500
2024-06-04,malangkab,15000
2024-06-04,mojokertokab,14162
2024-06-04,nganjukkab,14433
2024-06-04,ngawikab,14000
2024-06-04,pacitankab,15666
2024-06-04,pamekasankab,13000
2024-06-04,pasuruankab,12933
2024-06-04,ponorogokab,13750
2024-06-04,probolinggokab,16000
2024-06-04,sampangkab,0
2024-06-04,sidoarjokab,0
2024-06-04,situbondokab,12333
2024-06-04,sumenepkab,0
2024-06-04,trenggalekkab,12000
2024-06-04,tubankab,14000
2024-06-04,tulungagungkab,13000
2024-06-04,batukota,11375
2024-06-04,blitarkota,16000
2024-06-04,madiunkota,14000
2024-06-04,mojokertokota,13500
2024-06-04,pasuruankota,10500
2024-06-04,probolinggokota,0
2024-06-05,surabayakota,17500
2024-06-05,malangkota,0
2024-06-05,kedirikota,16666
2024-06-05,jemberkab,0
2024-06-05,bangkalankab,0
2024-06-05,banyuwangikab,11300
2024-06-05,blitarkab,13500
2024-06-05,bojonegorokab,17000
2024-06-05,bondowosokab,0
2024-06-05,gresikkab,11500
2024-06-05,jombangkab,12833
2024-06-05,kedirikab,15000
2024-06-05,lamongankab,13000
2024-06-05,lumajangkab,14500
2024-06-05,madiunkab,13500
2024-06-05,magetankab,15500
2024-06-05,malangkab,15000
2024-06-05,mojokertokab,14162
2024-06-05,nganjukkab,14433
2024-06-05,ngawikab,14000
2024-06-05,pacitankab,15666
