tanggal,code,hrg
2024-06-02,surabayakota,18166
2024-06-02,malangkota,15833
2024-06-02,kedirikota,17000
2024-06-02,jemberkab,15600
2024-06-02,bangkalankab,15333
2024-06-02,banyuwangikab,15400
2024-06-02,blitarkab,14500
2024-06-02,bojonegorokab,17500
2024-06-02,bondowosokab,14875
2024-06-02,gresikkab,17333
2024-06-02,jombangkab,17333
2024-06-02,kedirikab,17000
2024-06-02,lamongankab,17500
2024-06-02,lumajangkab,14000
2024-06-02,madiunkab,15750
2024-06-02,magetankab,17000
2024-06-02,malangkab,15500
2024-06-02,mojokertokab,18500
2024-06-02,nganjukkab,16666
2024-06-02,ngawikab,17666
2024-06-02,pacitankab,16666
2024-06-02,pamekasankab,16500
2024-06-02,pasuruankab,16600
2024-06-02,ponorogokab,15500
2024-06-02,probolinggokab,13666
2024-06-02,sampangkab,17000
2024-06-02,sidoarjokab,16000
2024-06-02,situbondokab,16000
2024-06-02,sumenepkab,15500
2024-06-02,trenggalekkab,15000
2024-06-02,tubankab,18000
2024-06-02,tulungagungkab,17333
2024-06-02,batukota,19000
2024-06-02,blitarkota,17000
2024-06-02,madiunkota,16333
2024-06-02,mojokertokota,17000
2024-06-02,pasuruankota,14200
2024-06-02,probolinggokota,14333
2024-06-03,surabayakota,18166
2024-06-03,malangkota,15833
2024-06-03,kedirikota,17666
2024-06-03,jemberkab,15600
2024-06-03,bangkalankab,15333
2024-06-03,banyuwangikab,15400
2024-06-03,blitarkab,14000
2024-06-03,bojonegorokab,19000
2024-06-03,bondowosokab,14500
2024-06-03,gresikkab,17333
2024-06-03,jombangkab,17333
2024-06-03,kedirikab,17000
2024-06-03,lamongankab,18250
2024-06-03,lumajangkab,14333
2024-06-03,madiunkab,15750
2024-06-03,magetankab,18000
2024-06-03,malangkab,15700
2024-06-03,mojokertokab,18000
2024-06-03,nganjukkab,17000
2024-06-03,ngawikab,18333
2024-06-03,pacitankab,16666
2024-06-03,pamekasankab,17500
2024-06-03,pasuruankab,17166
2024-06-03,ponorogokab,15500
2024-06-03,probolinggokab,13666
2024-06-03,sampangkab,17000
2024-06-03,sidoarjokab,18500
2024-06-03,situbondokab,16000
2024-06-03,sumenepkab,15500
2024-06-03,trenggalekkab,15000
2024-06-03,tubankab,18000
2024-06-03,tulungagungkab,17333
2024-06-03,batukota,19000
2024-06-03,blitarkota,17000
2024-06-03,madiunkota,15666
2024-06-03,mojokertokota,17000
2024-06-03,pasuruankota,14200
2024-06-03,probolinggokota,15333
2024-06-04,surabayakota,18166
2024-06-04,malangkota,16000
2024-06-04,kedirikota,17000
2024-06-04,jemberkab,16600
2024-06-04,bangkalankab,15333
2024-06-04,banyuwangikab,15400
2024-06-04,blitarkab,14000
2024-06-04,bojonegorokab,19000
2024-06-04,bondowosokab,14375
2024-06-04,gresikkab,18666
2024-06-04,jombangkab,17333
2024-06-04,kedirikab,17000
2024-06-04,lamongankab,18250
2024-06-04,lumajangkab,14666
2024-06-04,madiunkab,15750
2024-06-04,magetankab,18000
2024-06-04,malangkab,15700
2024-06-04,mojokertokab,18000
2024-06-04,nganjukkab,17000
2024-06-04,ngawikab,18333
2024-06-04,pacitankab,16666
2024-06-04,pamekasankab,17500
2024-06-04,pasuruankab,17166
2024-06-04,ponorogokab,15500
2024-06-04,probolinggokab,13666
2024-06-04,sampangkab,17000
2024-06-04,sidoarjokab,18500
2024-06-04,situbondokab,16000
2024-06-04,sumenepkab,15500
2024-06-04,trenggalekkab,15000
2024-06-04,tubankab,18000
2024-06-04,tulungagungkab,17333
2024-06-04,batukota,18000
2024-06-04,blitarkota,17000
2024-06-04,madiunkota,15666
2024-06-04,mojokertokota,17000
2024-06-04,pasuruankota,14200
2024-06-04,probolinggokota,15333
2024-06-05,surabayakota,18166
2024-06-05,malangkota,16000
2024-06-05,kedirikota,18000
2024-06-05,jemberkab,16600
2024-06-05,bangkalankab,15333
2024-06-05,banyuwangikab,15200
2024-06-05,blitarkab,16000
2024-06-05,bojonegorokab,19000
2024-06-05,bondowosokab,14250
2024-06-05,gresikkab,18666
2024-06-05,jombangkab,17333
2024-06-05,kedirikab,17333
2024-06-05,lamongankab,18750
2024-06-05,lumajangkab,14666
2024-06-05,madiunkab,15750
2024-06-05,magetankab,18000
2024-06-05,malangkab,15700
2024-06-05,mojokertokab,18000
2024-06-05,nganjukkab,17000
2024-06-05,ngawikab,18333
2024-06-05,pacitankab,16666
2024-06-05,pamekasankab,17500
2024-06-05,pasuruankab,16833
2024-06-05,ponorogokab,15500
2024-06-05,probolinggokab,13666
2024-06-05,sampangkab,17000
2024-06-05,sidoarjokab,17500
2024-06-05,situbondokab,16000
2024-06-05,sumenepkab,16500
2024-06-05,trenggalekkab,15000
2024-06-05,tubankab,18000
2024-06-05,tulungagungkab,17333
2024-06-05,batukota,18500
2024-06-05,blitarkota,17000
2024-06-05,madiunkota,16333
2024-06-05,mojokertokota,17000
2024-06-05,pasuruankota,14500
2024-06-05,probolinggokota,14333
2024-06-06,surabayakota,18166
2024-06-06,malangkota,16000
2024-06-06,kedirikota,18000
2024-06-06,jemberkab,16600
2024-06-06,bangkalankab,15333
2024-06-06,banyuwangikab,15200
2024-06-06,blitarkab,16000
2024-06-06,bojonegorokab,19000
2024-06-06,bondowosokab,15000
2024-06-06,gresikkab,18666
2024-06-06,jombangkab,17333
