tanggal,code,hrg
2024-06-02,surabayakota,12166
2024-06-02,malangkota,10166
2024-06-02,kedirikota,14000
2024-06-02,jemberkab,8000
2024-06-02,bangkalankab,10333
2024-06-02,banyuwangikab,9000
2024-06-02,blitarkab,8500
2024-06-02,bojonegorokab,13500
2024-06-02,bondowosokab,8375
2024-06-02,gresikkab,14333
2024-06-02,jombangkab,13000
2024-06-02,kedirikab,15000
2024-06-02,lamongankab,13250
2024-06-02,lumajangkab,8666
2024-06-02,madiunkab,10750
2024-06-02,magetankab,13333
2024-06-02,malangkab,10700
2024-06-02,mojokertokab,11625
2024-06-02,nganjukkab,13333
2024-06-02,ngawikab,13333
2024-06-02,pacitankab,11666
2024-06-02,pamekasankab,15500
2024-06-02,pasuruankab,13233
2024-06-02,ponorogokab,17500
2024-06-02,probolinggokab,7000
2024-06-02,sampangkab,14000
2024-06-02,sidoarjokab,13500
2024-06-02,situbondokab,8333
2024-06-02,sumenepkab,10000
2024-06-02,trenggalekkab,12000
2024-06-02,tubankab,7333
2024-06-02,tulungagungkab,13000
2024-06-02,batukota,11625
2024-06-02,blitarkota,11000
2024-06-02,madiunkota,11000
2024-06-02,mojokertokota,14500
2024-06-02,pasuruankota,11700
2024-06-02,probolinggokota,10666
2024-06-03,surabayakota,11666
2024-06-03,malangkota,10166
2024-06-03,kedirikota,13000
2024-06-03,jemberkab,8200
2024-06-03,bangkalankab,10333
2024-06-03,banyuwangikab,9000
2024-06-03,blitarkab,7500
2024-06-03,bojonegorokab,13500
2024-06-03,bondowosokab,8500
2024-06-03,gresikkab,14333
2024-06-03,jombangkab,13333
2024-06-03,kedirikab,15000
2024-06-03,lamongankab,12750
2024-06-03,lumajangkab,8333
2024-06-03,madiunkab,10750
2024-06-03,magetankab,12833
2024-06-03,malangkab,10800
2024-06-03,mojokertokab,11625
2024-06-03,nganjukkab,13333
2024-06-03,ngawikab,13000
2024-06-03,pacitankab,11666
2024-06-03,pamekasankab,15000
2024-06-03,pasuruankab,13000
2024-06-03,ponorogokab,17500
2024-06-03,probolinggokab,7000
2024-06-03,sampangkab,14000
2024-06-03,sidoarjokab,14000
2024-06-03,situbondokab,8333
2024-06-03,sumenepkab,10000
2024-06-03,trenggalekkab,12000
2024-06-03,tubankab,7333
2024-06-03,tulungagungkab,12000
2024-06-03,batukota,11625
2024-06-03,blitarkota,11000
2024-06-03,madiunkota,10333
2024-06-03,mojokertokota,14500
2024-06-03,pasuruankota,11700
2024-06-03,probolinggokota,11000
2024-06-04,surabayakota,11666
2024-06-04,malangkota,10166
2024-06-04,kedirikota,13333
2024-06-04,jemberkab,8200
2024-06-04,bangkalankab,10333
2024-06-04,banyuwangikab,9000
2024-06-04,blitarkab,7500
2024-06-04,bojonegorokab,13500
2024-06-04,bondowosokab,8625
2024-06-04,gresikkab,14333
2024-06-04,jombangkab,13333
2024-06-04,kedirikab,15000
2024-06-04,lamongankab,12750
2024-06-04,lumajangkab,8666
2024-06-04,madiunkab,10750
2024-06-04,magetankab,12833
2024-06-04,malangkab,10800
2024-06-04,mojokertokab,11625
2024-06-04,nganjukkab,13333
2024-06-04,ngawikab,13000
2024-06-04,pacitankab,11666
2024-06-04,pamekasankab,15000
2024-06-04,pasuruankab,13000
2024-06-04,ponorogokab,17500
2024-06-04,probolinggokab,7000
2024-06-04,sampangkab,14000
2024-06-04,sidoarjokab,14000
2024-06-04,situbondokab,8333
2024-06-04,sumenepkab,10000
2024-06-04,trenggalekkab,12000
2024-06-04,tubankab,7333
2024-06-04,tulungagungkab,12000
2024-06-04,batukota,11000
2024-06-04,blitarkota,11000
2024-06-04,madiunkota,10333
2024-06-04,mojokertokota,14500
2024-06-04,pasuruankota,11700
2024-06-04,probolinggokota,11000
2024-06-05,surabayakota,11666
2024-06-05,malangkota,10166
2024-06-05,kedirikota,14333
2024-06-05,jemberkab,8200
2024-06-05,bangkalankab,10333
2024-06-05,banyuwangikab,9000
2024-06-05,blitarkab,8000
2024-06-05,bojonegorokab,13500
2024-06-05,bondowosokab,8500
2024-06-05,gresikkab,14333
2024-06-05,jombangkab,13333
2024-06-05,kedirikab,15000
2024-06-05,lamongankab,12750
2024-06-05,lumajangkab,8333
2024-06-05,madiunkab,10750
2024-06-05,magetankab,12833
2024-06-05,malangkab,10800
2024-06-05,mojokertokab,11625
2024-06-05,nganjukkab,13333
2024-06-05,ngawikab,12666
2024-06-05,pacitankab,11666
2024-06-05,pamekasankab,15000
2024-06-05,pasuruankab,12000
2024-06-05,ponorogokab,17500
2024-06-05,probolinggokab,7000
2024-06-05,sampangkab,14000
2024-06-05,sidoarjokab,13500
2024-06-05,situbondokab,8333
2024-06-05,sumenepkab,10000
2024-06-05,trenggalekkab,12000
2024-06-05,tubankab,7333
2024-06-05,tulungagungkab,12000
2024-06-05,batukota,11250
2024-06-05,blitarkota,11000
2024-06-05,madiunkota,11000
2024-06-05,mojokertokota,14500
2024-06-05,pasuruankota,11450
2024-06-05,probolinggokota,11333
2024-06-06,surabayakota,11666
2024-06-06,malangkota,10166
2024-06-06,kedirikota,13600
2024-06-06,jemberkab,8000
2024-06-06,bangkalankab,10333
2024-06-06,banyuwangikab,8800
2024-06-06,blitarkab,8000
2024-06-06,bojonegorokab,13500
2024-06-06,bondowosokab,7000
2024-06-06,gresikkab,14333
2024-06-06,jombangkab,13333
2024-06-06,kedirikab,14666
2024-06-06,lamongankab,12750
2024-06-06,lumajangkab,8333
2024-06-06,madiunkab,10750
2024-06-06,magetankab,12833
2024-06-06,malangkab,10800
2024-06-06,mojokertokab,11375
2024-06-06,nganjukkab,13333
2024-06-06,ngawikab,12000
2024-06-06,pacitankab,11333
2024-06-06,pamekasankab,15000
