tanggal,hrg
2023-01-01,10797.052631578947
2023-01-02,10781.921052631578
2023-01-03,10803.842105263158
2023-01-04,10797.263157894737
2023-01-05,10827.736842105263
2023-01-06,10782.131578947368
2023-01-07,10795.28947368421
2023-01-08,10788.71052631579
2023-01-09,10793.105263157895
2023-01-10,10817.236842105263
2023-01-11,10863.28947368421
2023-01-12,10863.28947368421
2023-01-13,10863.28947368421
2023-01-14,10863.28947368421
2023-01-15,10860.0
2023-01-16,10860.0
2023-01-17,10866.578947368422
2023-01-18,10914.815789473685
2023-01-19,10911.526315789473
2023-01-20,10911.526315789473
2023-01-21,10911.526315789473
2023-01-22,10911.526315789473
2023-01-23,10924.684210526315
2023-01-24,10945.5
2023-01-25,10945.5
2023-01-26,10945.5
2023-01-27,10942.21052631579
2023-01-28,10942.21052631579
2023-01-29,10623.131578947368
2023-01-30,10549.657894736842
2023-01-31,10505.815789473685
2023-02-01,10567.21052631579
2023-02-02,10552.947368421053
2023-02-03,10537.157894736842
2023-02-04,10537.157894736842
2023-02-05,10543.736842105263
2023-02-06,10600.973684210527
2023-02-07,10567.0
2023-02-08,10567.657894736842
2023-02-09,10579.71052631579
2023-02-10,10554.5
2023-02-11,10554.5
2023-02-12,10532.552631578947
2023-02-13,10596.157894736842
2023-02-14,10564.368421052632
2023-02-15,10557.78947368421
2023-02-16,10585.0
2023-02-17,10593.763157894737
2023-02-18,10587.184210526315
2023-02-19,10570.078947368422
2023-02-20,10570.078947368422
2023-02-21,10571.157894736842
2023-02-22,10553.631578947368
2023-02-23,10560.868421052632
2023-02-24,10557.368421052632
2023-02-25,10552.105263157895
2023-02-26,10552.105263157895
2023-02-27,10578.421052631578
2023-02-28,10616.78947368421
2023-03-01,10614.605263157895
2023-03-02,10645.315789473685
2023-03-03,10642.026315789473
2023-03-04,10642.026315789473
2023-03-05,10642.026315789473
2023-03-06,10711.105263157895
2023-03-07,10646.184210526315
2023-03-08,10633.026315789473
2023-03-09,10646.184210526315
2023-03-10,10646.184210526315
2023-03-11,10646.184210526315
2023-03-12,10646.184210526315
2023-03-13,10630.394736842105
2023-03-14,10615.473684210527
2023-03-15,10615.473684210527
2023-03-16,10622.052631578947
2023-03-17,10622.052631578947
2023-03-18,10622.052631578947
2023-03-19,10613.28947368421
2023-03-20,10626.447368421053
2023-03-21,10626.552631578947
2023-03-22,10626.447368421053
2023-03-23,10623.157894736842
2023-03-24,10623.157894736842
2023-03-25,10623.157894736842
2023-03-26,10619.868421052632
2023-03-27,10613.28947368421
2023-03-28,10622.052631578947
2023-03-29,10629.736842105263
2023-03-30,10629.736842105263
2023-03-31,10629.736842105263
2023-04-01,10633.026315789473
2023-04-02,10640.026315789473
2023-04-03,10640.026315789473
2023-04-04,10636.736842105263
2023-04-05,10664.157894736842
2023-04-06,10664.157894736842
2023-04-07,10656.5
2023-04-08,10656.5
2023-04-09,10643.342105263158
2023-04-10,10586.973684210527
2023-04-11,10521.184210526315
2023-04-12,10508.026315789473
2023-04-13,10517.894736842105
2023-04-14,10504.736842105263
2023-04-15,10504.736842105263
2023-04-16,10534.342105263158
2023-04-17,10573.815789473685
2023-04-18,10573.815789473685
2023-04-19,10569.421052631578
2023-04-20,10560.631578947368
2023-04-21,10560.631578947368
2023-04-22,10527.28947368421
2023-04-23,10536.078947368422
2023-04-24,10539.368421052632
2023-04-25,10539.368421052632
2023-04-26,10733.236842105263
2023-04-27,10726.657894736842
2023-04-28,10529.342105263158
2023-04-29,10529.368421052632
2023-04-30,10529.28947368421
2023-05-01,10529.28947368421
2023-05-02,10596.842105263158
2023-05-03,10603.184210526315
2023-05-04,10550.552631578947
2023-05-05,10540.026315789473
2023-05-06,10540.026315789473
2023-05-07,10557.552631578947
2023-05-08,10558.157894736842
2023-05-09,10561.973684210527
2023-05-10,10561.973684210527
2023-05-11,10530.842105263158
2023-05-12,10544.21052631579
2023-05-13,10561.763157894737
2023-05-14,10561.763157894737
2023-05-15,10597.947368421053
2023-05-16,10597.947368421053
2023-05-17,10586.526315789473
2023-05-18,10582.131578947368
2023-05-19,10554.947368421053
2023-05-20,10554.947368421053
2023-05-21,10554.947368421053
2023-05-22,10542.657894736842
2023-05-23,10530.447368421053
2023-05-24,10534.78947368421
2023-05-25,10534.78947368421
2023-05-26,10586.105263157895
2023-05-27,10586.105263157895
2023-05-28,10582.815789473685
2023-05-29,10603.0
2023-05-30,10576.71052631579
2023-05-31,10571.21052631579
2023-06-01,10571.21052631579
2023-06-02,10573.842105263158
2023-06-03,10573.842105263158
2023-06-04,10573.842105263158
2023-06-05,10521.842105263158
2023-06-06,10521.842105263158
2023-06-07,10517.026315789473
2023-06-08,10542.263157894737
2023-06-09,10542.263157894737
2023-06-10,10555.421052631578
2023-06-11,10555.421052631578
2023-06-12,10529.105263157895
2023-06-13,10529.105263157895
2023-06-14,10457.394736842105
2023-06-15,10447.526315789473
2023-06-16,10447.526315789473
2023-06-17,10440.947368421053
2023-06-18,10440.947368421053
2023-06-19,10438.973684210527
2023-06-20,10438.973684210527
2023-06-21,10444.236842105263
2023-06-22,10444.236842105263
2023-06-23,10444.236842105263
2023-06-24,10444.236842105263
2023-06-25,10447.526315789473
2023-06-26,10394.894736842105
2023-06-27,10394.894736842105
2023-06-28,10399.28947368421
2023-06-29,10399.28947368421
2023-06-30,10399.28947368421
2023-07-01,10399.28947368421
2023-07-02,10412.447368421053
2023-07-03,10371.21052631579
2023-07-04,10358.026315789473
2023-07-05,10346.631578947368
2023-07-06,10346.631578947368
2023-07-07,10343.342105263158
2023-07-08,10343.342105263158
2023-07-09,10343.342105263158
2023-07-10,10323.394736842105
2023-07-11,10323.394736842105
2023-07-12,10303.657894736842
2023-07-13,10293.131578947368
2023-07-14,10316.157894736842
2023-07-15,10316.157894736842
2023-07-16,10319.447368421053
2023-07-17,10326.894736842105
2023-07-18,10344.447368421053
2023-07-19,10351.026315789473
2023-07-20,10398.842105263158
2023-07-21,10398.842105263158
2023-07-22,10392.263157894737
2023-07-23,10352.78947368421
2023-07-24,10342.263157894737
2023-07-25,10323.184210526315
2023-07-26,10336.342105263158
2023-07-27,10351.236842105263
2023-07-28,10346.21052631579
2023-07-29,10328.657894736842
2023-07-30,10322.078947368422
2023-07-31,10340.71052631579
2023-08-01,10340.71052631579
2023-08-02,10340.71052631579
2023-08-03,10312.657894736842
2023-08-04,10312.657894736842
2023-08-05,10303.894736842105
2023-08-06,10303.894736842105
2023-08-07,10303.894736842105
2023-08-08,10311.78947368421
2023-08-09,10315.078947368422
2023-08-10,10315.105263157895
2023-08-11,10315.078947368422
2023-08-12,10315.078947368422
2023-08-13,10320.342105263158
2023-08-14,10318.578947368422
2023-08-15,10318.578947368422
2023-08-16,10318.578947368422
2023-08-17,10323.184210526315
2023-08-18,10323.184210526315
2023-08-19,10329.763157894737
2023-08-20,10329.763157894737
2023-08-21,10321.0
2023-08-22,10318.368421052632
2023-08-23,10318.368421052632
2023-08-24,10318.368421052632
2023-08-25,10318.368421052632
2023-08-26,10318.026315789473
2023-08-27,10318.026315789473
2023-08-28,10326.78947368421
2023-08-29,10330.078947368422
2023-08-30,10343.236842105263
2023-08-31,10343.236842105263
2023-09-01,10339.947368421053
2023-09-02,10339.631578947368
2023-09-03,10339.631578947368
2023-09-04,10330.526315789473
2023-09-05,10323.947368421053
2023-09-06,10321.421052631578
2023-09-07,10308.263157894737
2023-09-08,10313.736842105263
2023-09-09,10313.736842105263
2023-09-10,10313.736842105263
2023-09-11,10318.131578947368
