tanggal,code,hrg
2023-01-01,surabayakota,31500
2023-01-01,malangkota,34666
2023-01-01,kedirikota,35333
2023-01-01,jemberkab,32600
2023-01-01,bangkalankab,30000
2023-01-01,banyuwangikab,32200
2023-01-01,blitarkab,30000
2023-01-01,bojonegorokab,35000
2023-01-01,bondowosokab,34125
2023-01-01,gresikkab,34000
2023-01-01,jombangkab,25333
2023-01-01,kedirikab,29333
2023-01-01,lamongankab,29000
2023-01-01,lumajangkab,29000
2023-01-01,madiunkab,30250
2023-01-01,magetankab,31000
2023-01-01,malangkab,34900
2023-01-01,mojokertokab,30250
2023-01-01,nganjukkab,27000
2023-01-01,ngawikab,35000
2023-01-01,pacitankab,26666
2023-01-01,pamekasankab,34500
2023-01-01,pasuruankab,35666
2023-01-01,ponorogokab,30000
2023-01-01,probolinggokab,28333
2023-01-01,sampangkab,33500
2023-01-01,sidoarjokab,33000
2023-01-01,situbondokab,32000
2023-01-01,sumenepkab,35000
2023-01-01,trenggalekkab,31000
2023-01-01,tubankab,33666
2023-01-01,tulungagungkab,30666
2023-01-01,batukota,28000
2023-01-01,blitarkota,30000
2023-01-01,madiunkota,30000
2023-01-01,mojokertokota,29500
2023-01-01,pasuruankota,31250
2023-01-01,probolinggokota,33666
2023-01-02,surabayakota,32166
2023-01-02,malangkota,35000
2023-01-02,kedirikota,32333
2023-01-02,jemberkab,32600
2023-01-02,bangkalankab,32000
2023-01-02,banyuwangikab,33000
2023-01-02,blitarkab,28500
2023-01-02,bojonegorokab,35000
2023-01-02,bondowosokab,32125
2023-01-02,gresikkab,35000
2023-01-02,jombangkab,25333
2023-01-02,kedirikab,30000
2023-01-02,lamongankab,29000
2023-01-02,lumajangkab,29000
2023-01-02,madiunkab,30250
2023-01-02,magetankab,30666
2023-01-02,malangkab,35000
2023-01-02,mojokertokab,30250
2023-01-02,nganjukkab,27000
2023-01-02,ngawikab,32000
2023-01-02,pacitankab,26666
2023-01-02,pamekasankab,34500
2023-01-02,pasuruankab,34000
2023-01-02,ponorogokab,30000
2023-01-02,probolinggokab,28333
2023-01-02,sampangkab,33500
2023-01-02,sidoarjokab,33000
2023-01-02,situbondokab,32000
2023-01-02,sumenepkab,33500
2023-01-02,trenggalekkab,30000
2023-01-02,tubankab,33666
2023-01-02,tulungagungkab,30666
2023-01-02,batukota,26750
2023-01-02,blitarkota,30000
2023-01-02,madiunkota,31000
2023-01-02,mojokertokota,29000
2023-01-02,pasuruankota,33750
