tanggal,code,hrg
2023-01-01,surabayakota,29333
2023-01-01,malangkota,27750
2023-01-01,kedirikota,27333
2023-01-01,jemberkab,26500
2023-01-01,bangkalankab,27000
2023-01-01,banyuwangikab,26500
2023-01-01,blitarkab,28000
2023-01-01,bojonegorokab,28000
2023-01-01,bondowosokab,26000
2023-01-01,gresikkab,29000
2023-01-01,jombangkab,26666
2023-01-01,kedirikab,23000
2023-01-01,lamongankab,30000
2023-01-01,lumajangkab,26000
2023-01-01,madiunkab,27750
2023-01-01,magetankab,29000
2023-01-01,malangkab,27800
2023-01-01,mojokertokab,26500
2023-01-01,nganjukkab,27666
2023-01-01,ngawikab,28000
2023-01-01,pacitankab,28666
2023-01-01,pamekasankab,26000
2023-01-01,pasuruankab,27333
2023-01-01,ponorogokab,27750
2023-01-01,probolinggokab,28000
2023-01-01,sampangkab,27500
2023-01-01,sidoarjokab,27500
2023-01-01,situbondokab,25000
2023-01-01,sumenepkab,27500
2023-01-01,trenggalekkab,28000
2023-01-01,tubankab,26000
2023-01-01,tulungagungkab,28666
2023-01-01,batukota,28250
2023-01-01,blitarkota,27750
2023-01-01,madiunkota,26000
2023-01-01,mojokertokota,26500
2023-01-01,pasuruankota,25750
2023-01-01,probolinggokota,25666
2023-01-02,surabayakota,29333
2023-01-02,malangkota,27750
2023-01-02,kedirikota,27333
2023-01-02,jemberkab,26500
2023-01-02,bangkalankab,27000
2023-01-02,banyuwangikab,26500
2023-01-02,blitarkab,28000
2023-01-02,bojonegorokab,28000
2023-01-02,bondowosokab,26000
2023-01-02,gresikkab,29000
2023-01-02,jombangkab,26666
2023-01-02,kedirikab,23000
2023-01-02,lamongankab,30000
2023-01-02,lumajangkab,26000
2023-01-02,madiunkab,27750
2023-01-02,magetankab,29000
2023-01-02,malangkab,27800
2023-01-02,mojokertokab,26500
2023-01-02,nganjukkab,27666
2023-01-02,ngawikab,28000
2023-01-02,pacitankab,28666
2023-01-02,pamekasankab,26000
2023-01-02,pasuruankab,27333
2023-01-02,ponorogokab,27750
2023-01-02,probolinggokab,28000
2023-01-02,sampangkab,27500
2023-01-02,sidoarjokab,27500
2023-01-02,situbondokab,25000
2023-01-02,sumenepkab,27500
2023-01-02,trenggalekkab,28000
2023-01-02,tubankab,26000
2023-01-02,tulungagungkab,28666
2023-01-02,batukota,28250
2023-01-02,blitarkota,27750
2023-01-02,madiunkota,26000
2023-01-02,mojokertokota,27000
2023-01-02,pasuruankota,25750
2023-01-02,probolinggokota,25666
2023-01-03,surabayakota,29333
2023-01-03,malangkota,27750
2023-01-03,kedirikota,27333
2023-01-03,jemberkab,26500
2023-01-03,bangkalankab,27000
2023-01-03,banyuwangikab,26500
2023-01-03,blitarkab,28000
2023-01-03,bojonegorokab,28000
2023-01-03,bondowosokab,26000
2023-01-03,gresikkab,29000
2023-01-03,jombangkab,26666
2023-01-03,kedirikab,23000
2023-01-03,lamongankab,30000
2023-01-03,lumajangkab,26000
2023-01-03,madiunkab,27750
2023-01-03,magetankab,29000
2023-01-03,malangkab,27800
2023-01-03,mojokertokab,26500
2023-01-03,nganjukkab,27666
2023-01-03,ngawikab,28000
2023-01-03,pacitankab,28666
2023-01-03,pamekasankab,26000
2023-01-03,pasuruankab,27333
2023-01-03,ponorogokab,27750
2023-01-03,probolinggokab,28000
2023-01-03,sampangkab,27500
2023-01-03,sidoarjokab,27500
2023-01-03,situbondokab,25000
2023-01-03,sumenepkab,27500
2023-01-03,trenggalekkab,28000
2023-01-03,tubankab,26000
2023-01-03,tulungagungkab,28666
2023-01-03,batukota,27500
2023-01-03,blitarkota,27750
