tanggal,code,hrg
2023-01-01,surabayakota,15333
2023-01-01,malangkota,14833
2023-01-01,kedirikota,15333
2023-01-01,jemberkab,14800
2023-01-01,bangkalankab,12666
2023-01-01,banyuwangikab,14400
2023-01-01,blitarkab,13000
2023-01-01,bojonegorokab,16000
2023-01-01,bondowosokab,12000
2023-01-01,gresikkab,16333
2023-01-01,jombangkab,13666
2023-01-01,kedirikab,15333
2023-01-01,lamongankab,15750
2023-01-01,lumajangkab,12333
2023-01-01,madiunkab,14250
2023-01-01,magetankab,14333
2023-01-01,malangkab,14700
2023-01-01,mojokertokab,13250
2023-01-01,nganjukkab,15333
2023-01-01,ngawikab,15333
2023-01-01,pacitankab,14333
2023-01-01,pamekasankab,15000
2023-01-01,pasuruankab,14666
2023-01-01,ponorogokab,15000
2023-01-01,probolinggokab,11666
2023-01-01,sampangkab,16000
2023-01-01,sidoarjokab,14500
2023-01-01,situbondokab,13000
2023-01-01,sumenepkab,15000
2023-01-01,trenggalekkab,13000
2023-01-01,tubankab,15000
2023-01-01,tulungagungkab,15000
2023-01-01,batukota,16875
2023-01-01,blitarkota,15500
2023-01-01,madiunkota,14333
2023-01-01,mojokertokota,14000
2023-01-01,pasuruankota,11500
2023-01-01,probolinggokota,13666
2023-01-02,surabayakota,15166
2023-01-02,malangkota,14333
2023-01-02,kedirikota,13333
2023-01-02,jemberkab,14800
2023-01-02,bangkalankab,12666
2023-01-02,banyuwangikab,14400
2023-01-02,blitarkab,13000
2023-01-02,bojonegorokab,16000
2023-01-02,bondowosokab,12000
2023-01-02,gresikkab,16666
2023-01-02,jombangkab,13666
2023-01-02,kedirikab,15333
2023-01-02,lamongankab,15750
2023-01-02,lumajangkab,12333
2023-01-02,madiunkab,14250
2023-01-02,magetankab,14666
2023-01-02,malangkab,14700
2023-01-02,mojokertokab,13250
2023-01-02,nganjukkab,15333
2023-01-02,ngawikab,15000
2023-01-02,pacitankab,14333
2023-01-02,pamekasankab,15000
2023-01-02,pasuruankab,14500
2023-01-02,ponorogokab,15000
2023-01-02,probolinggokab,11666
2023-01-02,sampangkab,16000
2023-01-02,sidoarjokab,15000
2023-01-02,situbondokab,13333
2023-01-02,sumenepkab,15000
2023-01-02,trenggalekkab,14000
2023-01-02,tubankab,15666
2023-01-02,tulungagungkab,15000
2023-01-02,batukota,15250
2023-01-02,blitarkota,15500
2023-01-02,madiunkota,14333
2023-01-02,mojokertokota,14000
2023-01-02,pasuruankota,11500
2023-01-02,probolinggokota,13666
