tanggal,code,hrg
2023-01-01,surabayakota,10333
2023-01-01,malangkota,8166
2023-01-01,kedirikota,13333
2023-01-01,jemberkab,10400
2023-01-01,bangkalankab,10000
2023-01-01,banyuwangikab,8000
2023-01-01,blitarkab,8000
2023-01-01,bojonegorokab,8000
2023-01-01,bondowosokab,4000
2023-01-01,gresikkab,11000
2023-01-01,jombangkab,6666
2023-01-01,kedirikab,10666
2023-01-01,lamongankab,10500
2023-01-01,lumajangkab,8166
2023-01-01,madiunkab,8750
2023-01-01,magetankab,9666
2023-01-01,malangkab,9800
2023-01-01,mojokertokab,9375
2023-01-01,nganjukkab,10666
2023-01-01,ngawikab,11000
2023-01-01,pacitankab,9000
2023-01-01,pamekasankab,10000
2023-01-01,pasuruankab,11333
2023-01-01,ponorogokab,10000
2023-01-01,probolinggokab,7666
2023-01-01,sampangkab,13000
2023-01-01,sidoarjokab,12000
2023-01-01,situbondokab,8166
2023-01-01,sumenepkab,10000
2023-01-01,trenggalekkab,10500
2023-01-01,tubankab,10000
2023-01-01,tulungagungkab,10000
2023-01-01,batukota,11250
2023-01-01,blitarkota,11000
2023-01-01,madiunkota,7666
2023-01-01,mojokertokota,8500
2023-01-01,pasuruankota,9000
2023-01-01,probolinggokota,10333
2023-01-02,surabayakota,10833
2023-01-02,malangkota,8500
2023-01-02,kedirikota,12333
2023-01-02,jemberkab,10200
2023-01-02,bangkalankab,10000
2023-01-02,banyuwangikab,8200
2023-01-02,blitarkab,9000
2023-01-02,bojonegorokab,8000
2023-01-02,bondowosokab,5250
2023-01-02,gresikkab,11666
2023-01-02,jombangkab,6666
2023-01-02,kedirikab,10666
2023-01-02,lamongankab,10500
2023-01-02,lumajangkab,8166
2023-01-02,madiunkab,8500
2023-01-02,magetankab,10000
2023-01-02,malangkab,10400
2023-01-02,mojokertokab,9375
2023-01-02,nganjukkab,10666
2023-01-02,ngawikab,11000
2023-01-02,pacitankab,9000
2023-01-02,pamekasankab,10000
2023-01-02,pasuruankab,10900
2023-01-02,ponorogokab,10000
2023-01-02,probolinggokab,7666
2023-01-02,sampangkab,13000
2023-01-02,sidoarjokab,12000
2023-01-02,situbondokab,7833
2023-01-02,sumenepkab,10000
2023-01-02,trenggalekkab,11000
2023-01-02,tubankab,10000
2023-01-02,tulungagungkab,10000
2023-01-02,batukota,10750
2023-01-02,blitarkota,11000
2023-01-02,madiunkota,8000
2023-01-02,mojokertokota,7500
2023-01-02,pasuruankota,9000
2023-01-02,probolinggokota,10333
2023-01-03,surabayakota,11000
2023-01-03,malangkota,8500
2023-01-03,kedirikota,12333
2023-01-03,jemberkab,10200
2023-01-03,bangkalankab,10000
2023-01-03,banyuwangikab,8400
2023-01-03,blitarkab,8500
2023-01-03,bojonegorokab,8000
2023-01-03,bondowosokab,4875
2023-01-03,gresikkab,11666
2023-01-03,jombangkab,6666
2023-01-03,kedirikab,10666
2023-01-03,lamongankab,10500
2023-01-03,lumajangkab,8166
2023-01-03,madiunkab,8500
2023-01-03,magetankab,10000
2023-01-03,malangkab,10200
2023-01-03,mojokertokab,9750
2023-01-03,nganjukkab,10333
2023-01-03,ngawikab,11000
2023-01-03,pacitankab,9000
2023-01-03,pamekasankab,10000
2023-01-03,pasuruankab,10666
2023-01-03,ponorogokab,10000
2023-01-03,probolinggokab,7666
2023-01-03,sampangkab,13000
2023-01-03,sidoarjokab,12000
2023-01-03,situbondokab,7833
2023-01-03,sumenepkab,10000
2023-01-03,trenggalekkab,11000
2023-01-03,tubankab,10000
2023-01-03,tulungagungkab,10000
2023-01-03,batukota,10125
2023-01-03,blitarkota,11000
2023-01-03,madiunkota,8000
2023-01-03,mojokertokota,7000
2023-01-03,pasuruankota,8750
2023-01-03,probolinggokota,9333
2023-01-04,surabayakota,11000
2023-01-04,malangkota,8500
2023-01-04,kedirikota,11666
