tanggal,code,hrg
2023-01-01,surabayakota,18333
2023-01-01,malangkota,10333
2023-01-01,kedirikota,11333
2023-01-01,jemberkab,7200
2023-01-01,bangkalankab,8000
2023-01-01,banyuwangikab,10000
2023-01-01,blitarkab,7500
2023-01-01,bojonegorokab,9000
2023-01-01,bondowosokab,8000
2023-01-01,gresikkab,11333
2023-01-01,jombangkab,9666
2023-01-01,kedirikab,10000
2023-01-01,lamongankab,10000
2023-01-01,lumajangkab,8666
2023-01-01,madiunkab,11250
2023-01-01,magetankab,11666
2023-01-01,malangkab,10200
2023-01-01,mojokertokab,8875
2023-01-01,nganjukkab,8666
2023-01-01,ngawikab,11000
2023-01-01,pacitankab,11000
2023-01-01,pamekasankab,15000
2023-01-01,pasuruankab,9000
2023-01-01,ponorogokab,10000
2023-01-01,probolinggokab,10000
2023-01-01,sampangkab,10000
2023-01-01,sidoarjokab,11000
2023-01-01,situbondokab,12000
2023-01-01,sumenepkab,11000
2023-01-01,trenggalekkab,10000
2023-01-01,tubankab,12666
2023-01-01,tulungagungkab,9000
2023-01-01,batukota,14750
2023-01-01,blitarkota,14000
2023-01-01,madiunkota,11000
2023-01-01,mojokertokota,12000
2023-01-01,pasuruankota,8500
2023-01-01,probolinggokota,9000
2023-01-02,surabayakota,18333
2023-01-02,malangkota,9666
2023-01-02,kedirikota,11166
2023-01-02,jemberkab,7100
2023-01-02,bangkalankab,8000
2023-01-02,banyuwangikab,10000
2023-01-02,blitarkab,7500
2023-01-02,bojonegorokab,9000
2023-01-02,bondowosokab,8000
2023-01-02,gresikkab,13000
2023-01-02,jombangkab,9666
2023-01-02,kedirikab,8666
2023-01-02,lamongankab,10500
2023-01-02,lumajangkab,8666
2023-01-02,madiunkab,10750
2023-01-02,magetankab,11000
2023-01-02,malangkab,10200
2023-01-02,mojokertokab,9250
2023-01-02,nganjukkab,8666
2023-01-02,ngawikab,10666
2023-01-02,pacitankab,11000
2023-01-02,pamekasankab,15000
2023-01-02,pasuruankab,9900
2023-01-02,ponorogokab,10000
2023-01-02,probolinggokab,10000
2023-01-02,sampangkab,10000
2023-01-02,sidoarjokab,11000
2023-01-02,situbondokab,11666
2023-01-02,sumenepkab,11000
2023-01-02,trenggalekkab,10500
2023-01-02,tubankab,10666
