tanggal,code,hrg
2024-06-02,surabayakota,18500
2024-06-02,malangkota,19333
2024-06-02,kedirikota,16333
2024-06-02,jemberkab,14400
2024-06-02,bangkalankab,20666
2024-06-02,banyuwangikab,18600
2024-06-02,blitarkab,12000
2024-06-02,bojonegorokab,15500
2024-06-02,bondowosokab,15000
2024-06-02,gresikkab,20000
2024-06-02,jombangkab,13000
2024-06-02,kedirikab,15333
2024-06-02,lamongankab,16250
2024-06-02,lumajangkab,18000
2024-06-02,madiunkab,14000
2024-06-02,magetankab,16333
2024-06-02,malangkab,12200
2024-06-02,mojokertokab,18375
2024-06-02,nganjukkab,13000
2024-06-02,ngawikab,14333
2024-06-02,pacitankab,14666
2024-06-02,pamekasankab,21500
2024-06-02,pasuruankab,16000
2024-06-02,ponorogokab,15000
2024-06-02,probolinggokab,17000
2024-06-02,sampangkab,16000
2024-06-02,sidoarjokab,16500
2024-06-02,situbondokab,21666
2024-06-02,sumenepkab,15000
2024-06-02,trenggalekkab,16000
2024-06-02,tubankab,19333
2024-06-02,tulungagungkab,16000
2024-06-02,batukota,18000
2024-06-02,blitarkota,14000
2024-06-02,madiunkota,17000
2024-06-02,mojokertokota,13500
2024-06-02,pasuruankota,16350
2024-06-02,probolinggokota,16000
2024-06-03,surabayakota,17833
2024-06-03,malangkota,18500
2024-06-03,kedirikota,15666
2024-06-03,jemberkab,13400
2024-06-03,bangkalankab,20666
2024-06-03,banyuwangikab,19000
2024-06-03,blitarkab,10500
2024-06-03,bojonegorokab,15000
2024-06-03,bondowosokab,13750
2024-06-03,gresikkab,18333
2024-06-03,jombangkab,13666
2024-06-03,kedirikab,13333
2024-06-03,lamongankab,15250
2024-06-03,lumajangkab,18000
2024-06-03,madiunkab,14000
2024-06-03,magetankab,12333
2024-06-03,malangkab,12200
2024-06-03,mojokertokab,15750
2024-06-03,nganjukkab,13500
2024-06-03,ngawikab,14000
2024-06-03,pacitankab,14666
2024-06-03,pamekasankab,21500
2024-06-03,pasuruankab,15333
2024-06-03,ponorogokab,15000
2024-06-03,probolinggokab,17000
2024-06-03,sampangkab,16000
2024-06-03,sidoarjokab,15000
2024-06-03,situbondokab,21666
2024-06-03,sumenepkab,15000
2024-06-03,trenggalekkab,16000
2024-06-03,tubankab,19333
2024-06-03,tulungagungkab,13333
2024-06-03,batukota,18250
2024-06-03,blitarkota,16000
2024-06-03,madiunkota,16000
2024-06-03,mojokertokota,14500
2024-06-03,pasuruankota,15350
2024-06-03,probolinggokota,14666
2024-06-04,surabayakota,17833
2024-06-04,malangkota,17833
2024-06-04,kedirikota,15666
2024-06-04,jemberkab,13000
2024-06-04,bangkalankab,20666
2024-06-04,banyuwangikab,19000
2024-06-04,blitarkab,10500
2024-06-04,bojonegorokab,15000
2024-06-04,bondowosokab,13750
2024-06-04,gresikkab,19333
2024-06-04,jombangkab,13666
2024-06-04,kedirikab,13333
2024-06-04,lamongankab,16000
2024-06-04,lumajangkab,15333
2024-06-04,madiunkab,14000
2024-06-04,magetankab,12333
2024-06-04,malangkab,12200
2024-06-04,mojokertokab,15750
2024-06-04,nganjukkab,13500
2024-06-04,ngawikab,13000
2024-06-04,pacitankab,14666
2024-06-04,pamekasankab,21500
2024-06-04,pasuruankab,15333
2024-06-04,ponorogokab,15000
2024-06-04,probolinggokab,17000
2024-06-04,sampangkab,16000
2024-06-04,sidoarjokab,15000
2024-06-04,situbondokab,21666
2024-06-04,sumenepkab,15000
2024-06-04,trenggalekkab,15000
2024-06-04,tubankab,19333
2024-06-04,tulungagungkab,13333
2024-06-04,batukota,16750
2024-06-04,blitarkota,16000
2024-06-04,madiunkota,15666
2024-06-04,mojokertokota,16000
2024-06-04,pasuruankota,15350
2024-06-04,probolinggokota,13666
2024-06-05,surabayakota,17833
2024-06-05,malangkota,17833
2024-06-05,kedirikota,15666
2024-06-05,jemberkab,12600
2024-06-05,bangkalankab,20666
2024-06-05,banyuwangikab,19000
2024-06-05,blitarkab,12000
2024-06-05,bojonegorokab,15000
2024-06-05,bondowosokab,13250
2024-06-05,gresikkab,19333
2024-06-05,jombangkab,13666
2024-06-05,kedirikab,13333
2024-06-05,lamongankab,16000
2024-06-05,lumajangkab,15333
2024-06-05,madiunkab,14000
2024-06-05,magetankab,12333
2024-06-05,malangkab,12200
2024-06-05,mojokertokab,15750
2024-06-05,nganjukkab,13500
2024-06-05,ngawikab,13000
2024-06-05,pacitankab,14666
2024-06-05,pamekasankab,21500
2024-06-05,pasuruankab,14666
2024-06-05,ponorogokab,15000
2024-06-05,probolinggokab,17000
2024-06-05,sampangkab,16000
2024-06-05,sidoarjokab,15000
2024-06-05,situbondokab,20333
2024-06-05,sumenepkab,14000
2024-06-05,trenggalekkab,15000
2024-06-05,tubankab,19333
2024-06-05,tulungagungkab,13336
2024-06-05,batukota,17000
2024-06-05,blitarkota,15000
2024-06-05,madiunkota,14666
2024-06-05,mojokertokota,16000
2024-06-05,pasuruankota,14950
2024-06-05,probolinggokota,12666
2024-06-06,surabayakota,17500
2024-06-06,malangkota,18666
2024-06-06,kedirikota,14333
2024-06-06,jemberkab,12400
2024-06-06,bangkalankab,15000
2024-06-06,banyuwangikab,19000
2024-06-06,blitarkab,12000
2024-06-06,bojonegorokab,15000
2024-06-06,bondowosokab,13500
2024-06-06,gresikkab,19333
2024-06-06,jombangkab,13666
2024-06-06,kedirikab,13000
2024-06-06,lamongankab,16000
2024-06-06,lumajangkab,13666
2024-06-06,madiunkab,14000
2024-06-06,magetankab,12333
2024-06-06,malangkab,12200
2024-06-06,mojokertokab,14875
2024-06-06,nganjukkab,13166
2024-06-06,ngawikab,12333
2024-06-06,pacitankab,14000
2024-06-06,pamekasankab,21500
2024-06-06,pasuruankab,14333
2024-06-06,ponorogokab,15000
2024-06-06,probolinggokab,15666
2024-06-06,sampangkab,16000
2024-06-06,sidoarjokab,15000
2024-06-06,situbondokab,18000
2024-06-06,sumenepkab,14000
2024-06-06,trenggalekkab,15000
2024-06-06,tubankab,19333
2024-06-06,tulungagungkab,13333
2024-06-06,batukota,16250
2024-06-06,blitarkota,15000
2024-06-06,madiunkota,15333
2024-06-06,mojokertokota,14250
2024-06-06,pasuruankota,14950
2024-06-06,probolinggokota,12333
2024-06-07,surabayakota,17000
2024-06-07,malangkota,18666
2024-06-07,kedirikota,14666
2024-06-07,jemberkab,12200
2024-06-07,bangkalankab,15000
2024-06-07,banyuwangikab,19000
2024-06-07,blitarkab,10000
2024-06-07,bojonegorokab,15000
2024-06-07,bondowosokab,13125
2024-06-07,gresikkab,18666
2024-06-07,jombangkab,12666
2024-06-07,kedirikab,13000
2024-06-07,lamongankab,14750
2024-06-07,lumajangkab,13666
2024-06-07,madiunkab,14000
2024-06-07,magetankab,12333
2024-06-07,malangkab,10800
2024-06-07,mojokertokab,14875
2024-06-07,nganjukkab,12333
2024-06-07,ngawikab,12333
2024-06-07,pacitankab,14000
2024-06-07,pamekasankab,21500
2024-06-07,pasuruankab,13566
