no,commodity,date,avg_price
1,kentang,2024-04-01,15629.184210526315
2,kentang,2024-04-02,15632.684210526315
3,kentang,2024-04-03,15571.28947368421
4,kentang,2024-04-04,15562.105263157895
5,kentang,2024-04-05,15563.5
6,kentang,2024-04-06,15577.736842105263
7,kentang,2024-04-07,15639.78947368421
8,kentang,2024-04-08,15579.868421052632
9,kentang,2024-04-09,15600.684210526315
10,kentang,2024-04-10,15605.078947368422
11,kentang,2024-04-11,15606.052631578947
12,kentang,2024-04-12,15630.078947368422
13,kentang,2024-04-13,15625.71052631579
14,kentang,2024-04-14,15588.868421052632
15,kentang,2024-04-15,15632.263157894737
16,kentang,2024-04-16,15636.973684210527
17,kentang,2024-04-17,15628.236842105263
18,kentang,2024-04-18,15645.342105263158
19,kentang,2024-04-19,15633.5
20,kentang,2024-04-20,15635.473684210527
21,kentang,2024-04-21,15650.842105263158
22,kentang,2024-04-22,15597.184210526315
23,kentang,2024-04-23,15577.657894736842
24,kentang,2024-04-24,15540.394736842105
25,kentang,2024-04-25,15592.78947368421
26,kentang,2024-04-26,15544.342105263158
27,kentang,2024-04-27,15578.342105263158
28,kentang,2024-04-28,15592.578947368422
29,kentang,2024-04-29,15687.947368421053
30,kentang,2024-04-30,15722.394736842105
