no,city,year,commodity,price
1,Kabupaten Pamekasan,2024-04-25,bawang_merah,65000
2,Kabupaten Gresik,2024-04-25,bawang_merah,60000
3,Kabupaten Sampang,2024-04-25,bawang_merah,60000
4,Kabupaten Ngawi,2024-04-25,bawang_merah,58000
5,Kabupaten Pasuruan,2024-04-25,bawang_merah,56666
6,Kota Blitar,2024-04-25,bawang_merah,55500
7,Kabupaten Sumenep,2024-04-25,bawang_merah,55000
8,Kota Kediri,2024-04-25,bawang_merah,54000
9,Kota Madiun,2024-04-25,bawang_merah,54000
10,Kabupaten Kediri,2024-04-25,bawang_merah,53333
11,Kabupaten Tulungagung,2024-04-25,bawang_merah,53000
12,Kota Probolinggo,2024-04-25,bawang_merah,52666
13,Kabupaten Bojonegoro,2024-04-25,bawang_merah,52500
14,Kabupaten Sidoarjo,2024-04-25,bawang_merah,52500
15,Kabupaten Trenggalek,2024-04-25,bawang_merah,52500
16,Kabupaten Magetan,2024-04-25,bawang_merah,51666
17,Kabupaten Tuban,2024-04-25,bawang_merah,51666
18,Kabupaten Jember,2024-04-25,bawang_merah,51600
19,Kota Mojokerto,2024-04-25,bawang_merah,51250
20,Kabupaten Nganjuk,2024-04-25,bawang_merah,50333
21,Kota Batu,2024-04-25,bawang_merah,50250
22,Kabupaten Ponorogo,2024-04-25,bawang_merah,50000
23,Kabupaten Banyuwangi,2024-04-25,bawang_merah,49800
24,Kabupaten Blitar,2024-04-25,bawang_merah,49000
25,Kota Surabaya,2024-04-25,bawang_merah,48500
26,Kabupaten Jombang,2024-04-25,bawang_merah,48333
27,Kabupaten Lumajang,2024-04-25,bawang_merah,48333
28,Kota Malang,2024-04-25,bawang_merah,47666
29,Kabupaten Pacitan,2024-04-25,bawang_merah,46666
30,Kota Pasuruan,2024-04-25,bawang_merah,46650
31,Kabupaten Bondowoso,2024-04-25,bawang_merah,45750
32,Kabupaten Madiun,2024-04-25,bawang_merah,45000
33,Kabupaten Malang,2024-04-25,bawang_merah,42800
34,Kabupaten Lamongan,2024-04-25,bawang_merah,42500
35,Kabupaten Situbondo,2024-04-25,bawang_merah,35333
36,Kabupaten Bangkalan,2024-04-25,bawang_merah,32000
37,Kabupaten Mojokerto,2024-04-25,bawang_merah,30450
38,Kabupaten Probolinggo,2024-04-25,bawang_merah,25000
