no,city,year,commodity,price
1,Kabupaten Pamekasan,2022-05-18,beras,12900
2,Kota Malang,2022-05-18,beras,12583
3,Kabupaten Sidoarjo,2022-05-18,beras,12500
4,Kabupaten Sumenep,2022-05-18,beras,12500
5,Kota Surabaya,2022-05-18,beras,12450
6,Kabupaten Lumajang,2022-05-18,beras,12333
7,Kabupaten Banyuwangi,2022-05-18,beras,12300
8,Kabupaten Bojonegoro,2022-05-18,beras,12250
9,Kabupaten Kediri,2022-05-18,beras,12166
10,Kabupaten Nganjuk,2022-05-18,beras,12166
11,Kabupaten Pacitan,2022-05-18,beras,12166
12,Kota Madiun,2022-05-18,beras,12166
13,Kabupaten Magetan,2022-05-18,beras,12133
14,Kabupaten Malang,2022-05-18,beras,12100
15,Kabupaten Ponorogo,2022-05-18,beras,12075
16,Kabupaten Madiun,2022-05-18,beras,12000
17,Kabupaten Tuban,2022-05-18,beras,12000
18,Kota Pasuruan,2022-05-18,beras,12000
19,Kabupaten Lamongan,2022-05-18,beras,11937
20,Kabupaten Gresik,2022-05-18,beras,11800
21,Kabupaten Jember,2022-05-18,beras,11760
22,Kota Batu,2022-05-18,beras,11750
23,Kota Kediri,2022-05-18,beras,11600
24,Kabupaten Pasuruan,2022-05-18,beras,11600
25,Kota Probolinggo,2022-05-18,beras,11600
26,Kabupaten Ngawi,2022-05-18,beras,11500
27,Kabupaten Trenggalek,2022-05-18,beras,11500
28,Kota Mojokerto,2022-05-18,beras,11500
29,Kabupaten Tulungagung,2022-05-18,beras,11400
30,Kabupaten Bangkalan,2022-05-18,beras,11333
31,Kabupaten Jombang,2022-05-18,beras,11333
32,Kabupaten Mojokerto,2022-05-18,beras,11250
33,Kabupaten Blitar,2022-05-18,beras,11000
34,Kabupaten Sampang,2022-05-18,beras,11000
35,Kabupaten Situbondo,2022-05-18,beras,11000
36,Kabupaten Bondowoso,2022-05-18,beras,10900
37,Kabupaten Probolinggo,2022-05-18,beras,10900
38,Kota Blitar,2022-05-18,beras,10900
