no,city,year,commodity,price
1,Kabupaten Probolinggo,2024-04-18,cabe_rawit_merah,40666
2,Kabupaten Bangkalan,2024-04-18,cabe_rawit_merah,37000
3,Kabupaten Bojonegoro,2024-04-18,cabe_rawit_merah,35000
4,Kota Malang,2024-04-18,cabe_rawit_merah,32666
5,Kabupaten Pacitan,2024-04-18,cabe_rawit_merah,32333
6,Kabupaten Mojokerto,2024-04-18,cabe_rawit_merah,31250
7,Kabupaten Magetan,2024-04-18,cabe_rawit_merah,31000
8,Kabupaten Tuban,2024-04-18,cabe_rawit_merah,30666
9,Kota Pasuruan,2024-04-18,cabe_rawit_merah,29700
10,Kabupaten Sumenep,2024-04-18,cabe_rawit_merah,28500
11,Kabupaten Gresik,2024-04-18,cabe_rawit_merah,28333
12,Kabupaten Banyuwangi,2024-04-18,cabe_rawit_merah,27800
13,Kabupaten Pasuruan,2024-04-18,cabe_rawit_merah,27333
14,Kabupaten Lamongan,2024-04-18,cabe_rawit_merah,27000
15,Kabupaten Ngawi,2024-04-18,cabe_rawit_merah,27000
16,Kabupaten Lumajang,2024-04-18,cabe_rawit_merah,26333
17,Kota Batu,2024-04-18,cabe_rawit_merah,25750
18,Kota Probolinggo,2024-04-18,cabe_rawit_merah,25666
19,Kota Mojokerto,2024-04-18,cabe_rawit_merah,25500
20,Kota Madiun,2024-04-18,cabe_rawit_merah,25333
21,Kabupaten Pamekasan,2024-04-18,cabe_rawit_merah,25000
22,Kabupaten Bondowoso,2024-04-18,cabe_rawit_merah,24750
23,Kabupaten Jember,2024-04-18,cabe_rawit_merah,24400
24,Kabupaten Ponorogo,2024-04-18,cabe_rawit_merah,24000
25,Kabupaten Sampang,2024-04-18,cabe_rawit_merah,24000
26,Kabupaten Sidoarjo,2024-04-18,cabe_rawit_merah,24000
27,Kabupaten Situbondo,2024-04-18,cabe_rawit_merah,24000
28,Kabupaten Malang,2024-04-18,cabe_rawit_merah,23600
29,Kabupaten Blitar,2024-04-18,cabe_rawit_merah,23500
30,Kota Blitar,2024-04-18,cabe_rawit_merah,23500
31,Kota Surabaya,2024-04-18,cabe_rawit_merah,23166
32,Kabupaten Madiun,2024-04-18,cabe_rawit_merah,22750
33,Kota Kediri,2024-04-18,cabe_rawit_merah,21666
34,Kabupaten Jombang,2024-04-18,cabe_rawit_merah,21333
35,Kabupaten Kediri,2024-04-18,cabe_rawit_merah,21000
36,Kabupaten Tulungagung,2024-04-18,cabe_rawit_merah,21000
37,Kabupaten Trenggalek,2024-04-18,cabe_rawit_merah,20000
38,Kabupaten Nganjuk,2024-04-18,cabe_rawit_merah,19666
