no,city,year,commodity,price
1,Kota Madiun,2024-03-22,jagung,12333
2,Kabupaten Malang,2024-03-22,jagung,11200
3,Kabupaten Sidoarjo,2024-03-22,jagung,10500
4,Kota Blitar,2024-03-22,jagung,9750
5,Kabupaten Lumajang,2024-03-22,jagung,9666
6,Kabupaten Situbondo,2024-03-22,jagung,9666
7,Kota Surabaya,2024-03-22,jagung,9625
8,Kabupaten Bondowoso,2024-03-22,jagung,9375
9,Kota Malang,2024-03-22,jagung,9333
10,Kabupaten Bangkalan,2024-03-22,jagung,9333
11,Kabupaten Jember,2024-03-22,jagung,9125
12,Kabupaten Nganjuk,2024-03-22,jagung,9000
13,Kabupaten Pamekasan,2024-03-22,jagung,9000
14,Kabupaten Sumenep,2024-03-22,jagung,9000
15,Kabupaten Lamongan,2024-03-22,jagung,8875
16,Kota Batu,2024-03-22,jagung,8875
17,Kabupaten Gresik,2024-03-22,jagung,8666
18,Kabupaten Jombang,2024-03-22,jagung,8666
19,Kabupaten Ngawi,2024-03-22,jagung,8666
20,Kota Pasuruan,2024-03-22,jagung,8650
21,Kabupaten Sampang,2024-03-22,jagung,8500
22,Kabupaten Banyuwangi,2024-03-22,jagung,8400
23,Kabupaten Kediri,2024-03-22,jagung,8333
24,Kabupaten Probolinggo,2024-03-22,jagung,8333
25,Kota Mojokerto,2024-03-22,jagung,8000
26,Kabupaten Madiun,2024-03-22,jagung,7875
27,Kabupaten Pasuruan,2024-03-22,jagung,7833
28,Kabupaten Trenggalek,2024-03-22,jagung,7750
29,Kabupaten Pacitan,2024-03-22,jagung,7666
30,Kabupaten Tulungagung,2024-03-22,jagung,7666
31,Kota Kediri,2024-03-22,jagung,7500
32,Kabupaten Mojokerto,2024-03-22,jagung,7237
33,Kabupaten Tuban,2024-03-22,jagung,7166
34,Kabupaten Bojonegoro,2024-03-22,jagung,7000
35,Kabupaten Magetan,2024-03-22,jagung,6833
36,Kota Probolinggo,2024-03-22,jagung,6333
37,Kabupaten Ponorogo,2024-03-22,jagung,6250
38,Kabupaten Blitar,2024-03-22,jagung,6000
