no,city,year,commodity,price
1,Kota Kediri,2024-01-06,kedelai_lokal,18000.0
2,Kota Blitar,2024-01-06,kedelai_lokal,16000.0
3,Kabupaten Madiun,2024-01-06,kedelai_lokal,15500.0
4,Kabupaten Magetan,2024-01-06,kedelai_lokal,15066.0
5,Kota Surabaya,2024-01-06,kedelai_lokal,15000.0
6,Kabupaten Kediri,2024-01-06,kedelai_lokal,15000.0
7,Kabupaten Ngawi,2024-01-06,kedelai_lokal,15000.0
8,Kabupaten Pacitan,2024-01-06,kedelai_lokal,15000.0
9,Kabupaten Ponorogo,2024-01-06,kedelai_lokal,15000.0
10,Kabupaten Probolinggo,2024-01-06,kedelai_lokal,15000.0
11,Kabupaten Malang,2024-01-06,kedelai_lokal,14800.0
12,Kabupaten Lumajang,2024-01-06,kedelai_lokal,14500.0
13,Kabupaten Mojokerto,2024-01-06,kedelai_lokal,14162.0
14,Kota Mojokerto,2024-01-06,kedelai_lokal,14000.0
15,Kota Madiun,2024-01-06,kedelai_lokal,13666.0
16,Kabupaten Lamongan,2024-01-06,kedelai_lokal,13625.0
17,Kabupaten Bojonegoro,2024-01-06,kedelai_lokal,13500.0
18,Kabupaten Situbondo,2024-01-06,kedelai_lokal,13500.0
19,Kabupaten Nganjuk,2024-01-06,kedelai_lokal,13333.0
20,Kabupaten Blitar,2024-01-06,kedelai_lokal,13000.0
21,Kabupaten Pamekasan,2024-01-06,kedelai_lokal,12900.0
22,Kabupaten Jombang,2024-01-06,kedelai_lokal,12833.0
23,Kabupaten Pasuruan,2024-01-06,kedelai_lokal,12333.0
24,Kabupaten Trenggalek,2024-01-06,kedelai_lokal,12250.0
25,Kabupaten Banyuwangi,2024-01-06,kedelai_lokal,11900.0
26,Kabupaten Gresik,2024-01-06,kedelai_lokal,11500.0
27,Kota Batu,2024-01-06,kedelai_lokal,11500.0
28,Kabupaten Tulungagung,2024-01-06,kedelai_lokal,11400.0
29,Kota Pasuruan,2024-01-06,kedelai_lokal,10500.0
30,Kota Malang,2024-01-06,kedelai_lokal,
31,Kabupaten Jember,2024-01-06,kedelai_lokal,
32,Kabupaten Bangkalan,2024-01-06,kedelai_lokal,
33,Kabupaten Bondowoso,2024-01-06,kedelai_lokal,
34,Kabupaten Sampang,2024-01-06,kedelai_lokal,
35,Kabupaten Sidoarjo,2024-01-06,kedelai_lokal,
36,Kabupaten Sumenep,2024-01-06,kedelai_lokal,
37,Kabupaten Tuban,2024-01-06,kedelai_lokal,
38,Kota Probolinggo,2024-01-06,kedelai_lokal,
