no,city,year,commodity,price
1,Kabupaten Bojonegoro,2024-02-25,kentang,20000
2,Kota Batu,2024-02-25,kentang,19500
3,Kota Kediri,2024-02-25,kentang,19333
4,Kabupaten Tuban,2024-02-25,kentang,19333
5,Kabupaten Gresik,2024-02-25,kentang,19000
6,Kabupaten Lamongan,2024-02-25,kentang,19000
7,Kabupaten Ngawi,2024-02-25,kentang,18666
8,Kabupaten Jombang,2024-02-25,kentang,18333
9,Kabupaten Pacitan,2024-02-25,kentang,18000
10,Kabupaten Pamekasan,2024-02-25,kentang,18000
11,Kota Blitar,2024-02-25,kentang,18000
12,Kota Mojokerto,2024-02-25,kentang,18000
13,Kabupaten Nganjuk,2024-02-25,kentang,17666
14,Kabupaten Madiun,2024-02-25,kentang,17625
15,Kabupaten Magetan,2024-02-25,kentang,17333
16,Kota Malang,2024-02-25,kentang,17000
17,Kabupaten Sidoarjo,2024-02-25,kentang,17000
18,Kabupaten Tulungagung,2024-02-25,kentang,17000
19,Kabupaten Kediri,2024-02-25,kentang,16833
20,Kabupaten Sampang,2024-02-25,kentang,16750
21,Kabupaten Bangkalan,2024-02-25,kentang,16666
22,Kabupaten Lumajang,2024-02-25,kentang,16666
23,Kabupaten Ponorogo,2024-02-25,kentang,16500
24,Kabupaten Trenggalek,2024-02-25,kentang,16500
25,Kota Surabaya,2024-02-25,kentang,16333
26,Kabupaten Malang,2024-02-25,kentang,16200
27,Kabupaten Banyuwangi,2024-02-25,kentang,16000
28,Kabupaten Pasuruan,2024-02-25,kentang,16000
29,Kota Madiun,2024-02-25,kentang,16000
30,Kabupaten Sumenep,2024-02-25,kentang,15500
31,Kota Pasuruan,2024-02-25,kentang,15500
32,Kabupaten Situbondo,2024-02-25,kentang,15333
33,Kota Probolinggo,2024-02-25,kentang,15333
34,Kabupaten Bondowoso,2024-02-25,kentang,15125
35,Kabupaten Mojokerto,2024-02-25,kentang,15125
36,Kabupaten Jember,2024-02-25,kentang,15000
37,Kabupaten Blitar,2024-02-25,kentang,14500
38,Kabupaten Probolinggo,2024-02-25,kentang,14333
