no,city,year,commodity,price
1,Kabupaten Sampang,2024-04-02,kol,20500
2,Kabupaten Pamekasan,2024-04-02,kol,10000
3,Kota Blitar,2024-04-02,kol,9500
4,Kabupaten Ngawi,2024-04-02,kol,9333
5,Kota Kediri,2024-04-02,kol,8666
6,Kabupaten Gresik,2024-04-02,kol,8666
7,Kabupaten Tulungagung,2024-04-02,kol,8666
8,Kota Batu,2024-04-02,kol,8625
9,Kabupaten Pacitan,2024-04-02,kol,8500
10,Kota Mojokerto,2024-04-02,kol,8500
11,Kabupaten Madiun,2024-04-02,kol,8250
12,Kota Surabaya,2024-04-02,kol,8166
13,Kabupaten Bojonegoro,2024-04-02,kol,8000
14,Kota Madiun,2024-04-02,kol,8000
15,Kota Malang,2024-04-02,kol,7666
16,Kabupaten Jombang,2024-04-02,kol,7666
17,Kabupaten Blitar,2024-04-02,kol,7500
18,Kabupaten Lamongan,2024-04-02,kol,7500
19,Kabupaten Ponorogo,2024-04-02,kol,7500
20,Kabupaten Trenggalek,2024-04-02,kol,7500
21,Kabupaten Mojokerto,2024-04-02,kol,7350
22,Kabupaten Kediri,2024-04-02,kol,7333
23,Kabupaten Nganjuk,2024-04-02,kol,7333
24,Kabupaten Pasuruan,2024-04-02,kol,7166
25,Kabupaten Tuban,2024-04-02,kol,7166
26,Kabupaten Lumajang,2024-04-02,kol,7000
27,Kabupaten Sumenep,2024-04-02,kol,7000
28,Kabupaten Banyuwangi,2024-04-02,kol,6900
29,Kabupaten Magetan,2024-04-02,kol,6833
30,Kabupaten Situbondo,2024-04-02,kol,6666
31,Kabupaten Sidoarjo,2024-04-02,kol,6500
32,Kabupaten Probolinggo,2024-04-02,kol,6333
33,Kabupaten Bangkalan,2024-04-02,kol,6000
34,Kota Pasuruan,2024-04-02,kol,5950
35,Kabupaten Jember,2024-04-02,kol,5800
36,Kabupaten Malang,2024-04-02,kol,5600
37,Kota Probolinggo,2024-04-02,kol,5333
38,Kabupaten Bondowoso,2024-04-02,kol,5125
