no,city,year,commodity,price
1,Kabupaten Gresik,2024-04-09,tomat,38333
2,Kabupaten Sidoarjo,2024-04-09,tomat,37500
3,Kabupaten Sampang,2024-04-09,tomat,37000
4,Kabupaten Banyuwangi,2024-04-09,tomat,36000
5,Kabupaten Pamekasan,2024-04-09,tomat,35000
6,Kota Mojokerto,2024-04-09,tomat,35000
7,Kota Probolinggo,2024-04-09,tomat,35000
8,Kabupaten Lamongan,2024-04-09,tomat,34500
9,Kabupaten Jember,2024-04-09,tomat,33400
10,Kabupaten Situbondo,2024-04-09,tomat,32666
11,Kabupaten Kediri,2024-04-09,tomat,32000
12,Kabupaten Lumajang,2024-04-09,tomat,31333
13,Kota Kediri,2024-04-09,tomat,31000
14,Kabupaten Sumenep,2024-04-09,tomat,31000
15,Kabupaten Pasuruan,2024-04-09,tomat,30666
16,Kabupaten Ngawi,2024-04-09,tomat,30000
17,Kabupaten Nganjuk,2024-04-09,tomat,29666
18,Kabupaten Madiun,2024-04-09,tomat,29000
19,Kabupaten Pacitan,2024-04-09,tomat,28333
20,Kabupaten Bondowoso,2024-04-09,tomat,28000
21,Kabupaten Magetan,2024-04-09,tomat,28000
22,Kota Blitar,2024-04-09,tomat,28000
23,Kabupaten Jombang,2024-04-09,tomat,27666
24,Kabupaten Tulungagung,2024-04-09,tomat,27666
25,Kabupaten Bojonegoro,2024-04-09,tomat,27500
26,Kota Batu,2024-04-09,tomat,27250
27,Kota Surabaya,2024-04-09,tomat,26500
28,Kabupaten Ponorogo,2024-04-09,tomat,26000
29,Kota Madiun,2024-04-09,tomat,26000
30,Kabupaten Mojokerto,2024-04-09,tomat,24750
31,Kota Pasuruan,2024-04-09,tomat,24750
32,Kabupaten Malang,2024-04-09,tomat,23200
33,Kabupaten Trenggalek,2024-04-09,tomat,23000
34,Kabupaten Tuban,2024-04-09,tomat,22000
35,Kota Malang,2024-04-09,tomat,21500
36,Kabupaten Probolinggo,2024-04-09,tomat,20000
37,Kabupaten Blitar,2024-04-09,tomat,19000
38,Kabupaten Bangkalan,2024-04-09,tomat,18000
