Kabupaten Sampang	Rp11.000
Kota Surabaya	Rp10.416
Kabupaten Sidoarjo	Rp10.000
Kota Madiun	Rp9.833
Kota Malang	Rp9.500
Kabupaten Pamekasan	Rp9.500
Kabupaten Bangkalan	Rp9.333
Kabupaten Gresik	Rp9.000
Kota Blitar	Rp9.000
Kota Pasuruan	Rp8.650
Kota Batu	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Pasuruan	Rp8.166
Kabupaten Malang	Rp8.100
Kabupaten Kediri	Rp8.000
Kabupaten Magetan	Rp8.000
Kabupaten Jember	Rp7.800
Kabupaten Sumenep	Rp7.750
Kabupaten Banyuwangi	Rp7.700
Kabupaten Nganjuk	Rp7.500
Kabupaten Tuban	Rp7.500
Kabupaten Tulungagung	Rp7.333
Kabupaten Lamongan	Rp7.250
Kabupaten Pacitan	Rp7.250
Kabupaten Lumajang	Rp7.166
Kabupaten Ngawi	Rp7.166
Kota Probolinggo	Rp7.166
Kabupaten Jombang	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Mojokerto	Rp6.975
Kabupaten Bondowoso	Rp6.750
Kabupaten Trenggalek	Rp6.750
Kabupaten Ponorogo	Rp6.675
Kabupaten Probolinggo	Rp6.666
Kota Kediri	Rp6.500
Kabupaten Bojonegoro	Rp6.500
Kabupaten Blitar	Rp6.000
Kabupaten Madiun	Rp6.000
