Kabupaten Sidoarjo	Rp13.000
Kabupaten Malang	Rp10.600
Kota Madiun	Rp10.000
Kota Blitar	Rp9.750
Kota Surabaya	Rp9.700
Kabupaten Lumajang	Rp9.666
Kabupaten Nganjuk	Rp9.666
Kabupaten Situbondo	Rp9.666
Kabupaten Madiun	Rp9.500
Kabupaten Sampang	Rp9.500
Kota Mojokerto	Rp9.500
Kabupaten Bondowoso	Rp9.375
Kabupaten Lamongan	Rp9.375
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Kediri	Rp9.333
Kabupaten Ngawi	Rp9.333
Kabupaten Jember	Rp9.125
Kabupaten Gresik	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Trenggalek	Rp9.000
Kota Batu	Rp9.000
Kabupaten Jombang	Rp8.666
Kota Pasuruan	Rp8.650
Kabupaten Banyuwangi	Rp8.600
Kota Kediri	Rp8.500
Kabupaten Pacitan	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kabupaten Ponorogo	Rp8.000
Kabupaten Tuban	Rp7.666
Kabupaten Magetan	Rp7.366
Kabupaten Mojokerto	Rp7.250
Kabupaten Bojonegoro	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Probolinggo	Rp6.666
Kota Probolinggo	Rp6.666
Kabupaten Blitar	Rp6.000
