Kota Madiun	Rp12.000
Kota Surabaya	Rp11.125
Kota Blitar	Rp10.500
Kabupaten Sidoarjo	Rp10.000
Kabupaten Lumajang	Rp9.666
Kabupaten Situbondo	Rp9.666
Kabupaten Malang	Rp9.500
Kabupaten Bondowoso	Rp9.400
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Pasuruan	Rp8.650
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.500
Kabupaten Probolinggo	Rp8.333
Kabupaten Lamongan	Rp8.250
Kabupaten Banyuwangi	Rp8.200
Kabupaten Ngawi	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Sumenep	Rp8.000
Kabupaten Jember	Rp7.875
Kabupaten Madiun	Rp7.875
Kabupaten Kediri	Rp7.833
Kabupaten Pasuruan	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kabupaten Jombang	Rp7.333
Kabupaten Mojokerto	Rp7.162
Kota Kediri	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Trenggalek	Rp6.500
Kabupaten Tuban	Rp6.500
Kabupaten Ponorogo	Rp6.250
Kabupaten Blitar	Rp6.000
Kota Probolinggo	Rp5.666
