Kota Surabaya	Rp17.500
Kota Kediri	Rp16.666
Kabupaten Bojonegoro	Rp16.000
Kabupaten Pacitan	Rp16.000
Kabupaten Probolinggo	Rp16.000
Kota Blitar	Rp16.000
Kabupaten Kediri	Rp15.500
Kabupaten Magetan	Rp15.500
Kabupaten Malang	Rp15.000
Kabupaten Lumajang	Rp14.500
Kabupaten Nganjuk	Rp14.433
Kabupaten Mojokerto	Rp14.162
Kabupaten Ngawi	Rp14.000
Kabupaten Tuban	Rp14.000
Kota Madiun	Rp14.000
Kota Mojokerto	Rp14.000
Kabupaten Madiun	Rp13.750
Kabupaten Ponorogo	Rp13.750
Kabupaten Tulungagung	Rp13.250
Kabupaten Blitar	Rp13.000
Kabupaten Lamongan	Rp13.000
Kabupaten Pamekasan	Rp13.000
Kabupaten Pasuruan	Rp12.933
Kabupaten Jombang	Rp12.833
Kabupaten Situbondo	Rp12.333
Kabupaten Trenggalek	Rp12.000
Kabupaten Gresik	Rp11.500
Kota Batu	Rp11.250
Kabupaten Banyuwangi	Rp11.200
Kota Pasuruan	Rp10.500
Kota Malang	Belum ada data
Kabupaten Jember	Belum ada data
Kabupaten Bangkalan	Belum ada data
Kabupaten Bondowoso	Belum ada data
Kabupaten Sampang	Belum ada data
Kabupaten Sidoarjo	Belum ada data
Kabupaten Sumenep	Belum ada data
Kota Probolinggo	Belum ada data
