Kota Mojokerto	Rp10.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sampang	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Situbondo	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Malang	Rp8.000
Kabupaten Blitar	Rp8.000
Kabupaten Gresik	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kota Batu	Rp8.000
Kota Surabaya	Rp7.833
Kabupaten Ngawi	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kota Madiun	Rp7.333
Kabupaten Pasuruan	Rp7.166
Kabupaten Tuban	Rp7.166
Kota Kediri	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kabupaten Lamongan	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Kediri	Rp6.666
Kabupaten Lumajang	Rp6.666
Kabupaten Magetan	Rp6.666
Kabupaten Nganjuk	Rp6.666
Kabupaten Banyuwangi	Rp6.600
Kabupaten Probolinggo	Rp6.333
Kota Pasuruan	Rp6.300
Kabupaten Mojokerto	Rp6.250
Kabupaten Bangkalan	Rp6.000
Kabupaten Jember	Rp5.800
Kota Probolinggo	Rp5.666
Kabupaten Malang	Rp5.400
Kabupaten Bondowoso	Rp5.250
