Kabupaten Sampang	Rp14.500
Kota Kediri	Rp12.000
Kabupaten Pamekasan	Rp12.000
Kabupaten Pacitan	Rp11.333
Kabupaten Sidoarjo	Rp11.000
Kota Blitar	Rp11.000
Kabupaten Ponorogo	Rp10.500
Kabupaten Trenggalek	Rp10.500
Kota Mojokerto	Rp10.500
Kabupaten Nganjuk	Rp10.333
Kabupaten Pasuruan	Rp10.333
Kabupaten Tulungagung	Rp10.333
Kabupaten Gresik	Rp10.000
Kabupaten Jombang	Rp10.000
Kabupaten Ngawi	Rp10.000
Kabupaten Kediri	Rp9.666
Kabupaten Magetan	Rp9.666
Kota Malang	Rp9.500
Kota Surabaya	Rp9.333
Kota Batu	Rp9.250
Kabupaten Bojonegoro	Rp9.000
Kabupaten Lamongan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Pasuruan	Rp8.950
Kabupaten Malang	Rp8.300
Kabupaten Madiun	Rp8.250
Kabupaten Mojokerto	Rp8.250
Kabupaten Banyuwangi	Rp8.000
Kota Madiun	Rp8.000
Kabupaten Tuban	Rp7.666
Kabupaten Jember	Rp7.400
Kabupaten Lumajang	Rp7.333
Kabupaten Situbondo	Rp7.333
Kabupaten Blitar	Rp7.000
Kota Probolinggo	Rp6.666
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
